Î»,Ïƒ,uncertainty
124.98,5.3344e-17,1.655e-18
125.03,5.3199e-17,1.629e-18
125.08,5.3053e-17,1.61e-18
125.13,5.2907e-17,1.597e-18
125.18,5.2861e-17,1.596e-18
125.23,5.2876e-17,1.605e-18
125.28,5.2891e-17,1.623e-18
125.33,5.2906e-17,1.649e-18
125.38,5.2933e-17,1.648e-18
125.43,5.2963e-17,1.641e-18
125.48,5.2993e-17,1.635e-18
125.53,5.3023e-17,1.633e-18
125.58,5.3073e-17,1.628e-18
125.63,5.3124e-17,1.624e-18
125.68,5.3175e-17,1.621e-18
125.73,5.3220e-17,1.62e-18
125.78,5.3228e-17,1.623e-18
125.83,5.3235e-17,1.626e-18
125.88,5.3243e-17,1.629e-18
125.93,5.3202e-17,1.629e-18
125.98,5.3049e-17,1.621e-18
126.03,5.2896e-17,1.614e-18
126.08,5.2742e-17,1.609e-18
126.13,5.2572e-17,1.603e-18
126.18,5.2383e-17,1.596e-18
126.23,5.2193e-17,1.589e-18
126.28,5.2004e-17,1.584e-18
126.33,5.1827e-17,1.577e-18
126.38,5.1657e-17,1.573e-18
126.43,5.1488e-17,1.574e-18
126.48,5.1318e-17,1.58e-18
126.53,5.1050e-17,1.567e-18
126.58,5.0761e-17,1.552e-18
126.63,5.0472e-17,1.542e-18
126.68,5.0183e-17,1.535e-18
126.73,5.0094e-17,1.53e-18
126.78,5.0009e-17,1.527e-18
126.83,4.9924e-17,1.527e-18
126.88,4.9848e-17,1.53e-18
126.93,4.9815e-17,1.525e-18
126.98,4.9782e-17,1.525e-18
127.03,4.9750e-17,1.529e-18
127.08,4.9721e-17,1.531e-18
127.13,4.9699e-17,1.523e-18
127.18,4.9677e-17,1.517e-18
127.23,4.9656e-17,1.512e-18
127.28,4.9481e-17,1.503e-18
127.33,4.9154e-17,1.491e-18
127.38,4.8826e-17,1.48e-18
127.43,4.8499e-17,1.47e-18
127.48,4.8334e-17,1.464e-18
127.53,4.8247e-17,1.461e-18
127.58,4.8159e-17,1.458e-18
127.63,4.8072e-17,1.457e-18
127.68,4.7807e-17,1.45e-18
127.73,4.7513e-17,1.443e-18
127.78,4.7219e-17,1.439e-18
127.83,4.6926e-17,1.436e-18
127.88,4.6663e-17,1.424e-18
127.93,4.6401e-17,1.412e-18
127.98,4.6138e-17,1.401e-18
128.03,4.5876e-17,1.393e-18
128.08,4.5614e-17,1.393e-18
128.13,4.5352e-17,1.396e-18
128.18,4.5090e-17,1.403e-18
128.23,4.4839e-17,1.399e-18
128.28,4.4607e-17,1.377e-18
128.33,4.4375e-17,1.359e-18
128.38,4.4143e-17,1.345e-18
128.43,4.3937e-17,1.336e-18
128.48,4.3753e-17,1.331e-18
128.53,4.3568e-17,1.326e-18
128.58,4.3384e-17,1.322e-18
128.63,4.3147e-17,1.315e-18
128.68,4.2892e-17,1.307e-18
128.73,4.2636e-17,1.299e-18
128.78,4.2381e-17,1.291e-18
128.83,4.2101e-17,1.282e-18
128.88,4.1818e-17,1.274e-18
128.93,4.1536e-17,1.267e-18
128.98,4.1252e-17,1.262e-18
129.03,4.0959e-17,1.255e-18
129.08,4.0665e-17,1.248e-18
129.13,4.0372e-17,1.242e-18
129.18,4.0114e-17,1.236e-18
129.23,3.9948e-17,1.23e-18
129.28,3.9783e-17,1.225e-18
129.33,3.9617e-17,1.221e-18
129.38,3.9448e-17,1.218e-18
129.43,3.9275e-17,1.219e-18
129.48,3.9102e-17,1.222e-18
129.53,3.8929e-17,1.226e-18
129.58,3.8777e-17,1.224e-18
129.63,3.8637e-17,1.219e-18
129.68,3.8497e-17,1.213e-18
129.73,3.8357e-17,1.208e-18
129.78,3.8161e-17,1.202e-18
129.83,3.7952e-17,1.196e-18
129.88,3.7744e-17,1.191e-18
129.93,3.7536e-17,1.186e-18
129.98,3.7386e-17,1.173e-18
130.03,3.7237e-17,1.16e-18
130.08,3.7087e-17,1.149e-18
130.13,3.6931e-17,1.14e-18
130.18,3.6747e-17,1.138e-18
130.23,3.6563e-17,1.136e-18
130.28,3.6380e-17,1.134e-18
130.33,3.6224e-17,1.13e-18
130.38,3.6114e-17,1.123e-18
130.43,3.6003e-17,1.116e-18
130.48,3.5893e-17,1.109e-18
130.53,3.5775e-17,1.105e-18
130.58,3.5650e-17,1.102e-18
130.63,3.5526e-17,1.099e-18
130.68,3.5402e-17,1.096e-18
130.73,3.5305e-17,1.092e-18
130.78,3.5216e-17,1.088e-18
