λ,σ,uncertainty
300,5.81e-21,1.6e-22
305,2.78e-21,1.2e-22
310,1.28e-21,4.0e-23
315,5.8e-22,2.8e-23
320,2.71e-22,1.2e-23
325,1.17e-22,1.8e-23
330,5.15e-23,6.8e-24
335,2.31e-23,5.2e-24
340,1.06e-23,4.0e-24
