λ,σ_1,σ_2,σ_3,σ_4,σ_5,σ_6,σ_7,σ_8,σ_11,σ_12,σ_13,σ_14,σ_17,σ_15,σ_16,σ_18,σ_19,σ_20,σ_21,σ_22,σ_23,σ_24,σ_31,σ_32,σ_33,σ_34,σ_35,σ_41,σ_51,σ_52,σ_53,σ_54,σ_55,σ_56
194.249,3.8017076100156857e-19,3.8017076100156857e-19,7.822922645628173e-19,4.562396101500376e-19,0.0,0.0,1.7403060975521778e-18,1.1135545387117402e-17,0.0,0.0,8.297504278550728e-20,8.608743055828651e-20,0.0,9.212621238075275e-13,9.212621238075275e-13,1.3425331891066432e-17,1.3425331891066432e-17,1.3425331891066432e-17,7.477854434059831e-20,1.1166546062435147e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3669716258730715e-18,2.410586679307779e-17,0.0,0.0,0.0,0.0
194.519,3.752987086085501e-19,3.752987086085501e-19,7.726520093058248e-19,4.467278875307301e-19,0.0,0.0,1.762727040874623e-18,1.0883946975455368e-17,0.0,0.0,9.806705080715883e-20,6.731813799934314e-20,0.0,4.724730867062454e-13,4.724730867062454e-13,1.3868910413584165e-17,1.3868910413584165e-17,1.3868910413584165e-17,6.668809252459278e-20,1.389789423105238e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3710348868990059e-18,2.3848412763030974e-17,0.0,0.0,0.0,0.0
194.789,3.706659535320354e-19,3.706659535320354e-19,7.631520645281716e-19,4.378849293329784e-19,0.0,0.0,1.7832852494165737e-18,1.0630736493465788e-17,0.0,0.0,1.0636874497593687e-19,5.267189949134257e-20,0.0,1.7804442434705834e-13,1.7804442434705834e-13,1.42942422204593e-17,1.42942422204593e-17,1.42942422204593e-17,5.909300536331395e-20,1.8737384359572057e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3774080127681602e-18,2.3580680998092736e-17,0.0,0.0,0.0,0.0
195.059,3.6627216660953133e-19,3.6627216660953133e-19,7.537908921765755e-19,4.2968192117392477e-19,0.0,0.0,1.8021253378298656e-18,1.0376366094813625e-17,0.0,0.0,1.0235487713723181e-19,4.126254397061079e-20,0.0,4.9915646018634307e-14,4.9915646018634307e-14,1.46949409307764e-17,1.46949409307764e-17,1.46949409307764e-17,5.199898148364024e-20,2.7302054317865643e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3859770158304064e-18,2.330302548178654e-17,0.0,0.0,0.0,0.0
195.329,3.621169368720132e-19,3.621169368720132e-19,7.445669448268278e-19,4.2209166071632676e-19,0.0,0.0,1.8194297822960778e-18,1.0121138307069393e-17,0.0,0.0,8.566607703927705e-20,3.238425341853659e-20,0.0,1.0635845110936608e-14,1.0635845110936608e-14,1.5069082189701972e-17,1.5069082189701972e-17,1.5069082189701972e-17,4.5418339188365614e-20,4.287180210698703e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3966327168010636e-18,2.3015819941228334e-17,0.0,0.0,0.0,0.0
195.599,3.5819979856810777e-19,3.5819979856810777e-19,7.354786780420436e-19,4.1508849160414245e-19,0.0,0.0,1.8354090186299395e-18,9.865479240307476e-18,0.0,0.0,6.21154700947189e-20,2.547869985942453e-20,0.0,1.7747620520603243e-15,1.7747620520603243e-15,1.5419524761668714e-17,1.5419524761668714e-17,1.5419524761668714e-17,3.936463450302318e-20,7.230046632218442e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4092701838162756e-18,2.27194566660296e-17,0.0,0.0,0.0,0.0
195.868,3.545334472581464e-19,3.545334472581464e-19,7.265574529821472e-19,4.0867107885623143e-19,0.0,0.0,1.8502380720023038e-18,9.610682988533112e-18,0.0,0.0,3.955683654070652e-20,2.0124334442386605e-20,0.0,2.427590068755632e-16,2.427590068755632e-16,1.5752217578801003e-17,1.5752217578801003e-17,1.5752217578801003e-17,3.386767870265248e-20,1.3011231893983459e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4237282301711654e-18,2.2415490980941027e-17,0.0,0.0,0.0,0.0
196.138,3.510901268328317e-19,3.510901268328317e-19,7.177353917018355e-19,4.0276901044616486e-19,0.0,0.0,1.8642632611962462e-18,9.355276957869965e-18,0.0,0.0,2.2619685026577893e-20,1.5938703439291923e-20,0.0,2.805103290401396e-17,2.805103290401396e-17,1.6079542820647876e-17,1.6079542820647876e-17,1.6079542820647876e-17,2.8890534958284065e-20,2.4975368032285356e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4400119963124974e-18,2.210208726332578e-17,0.0,0.0,0.0,0.0
196.408,3.4788342808569524e-19,3.4788342808569524e-19,7.090443512476942e-19,3.973857419145387e-19,0.0,0.0,1.8776639697497156e-18,9.100529569873289e-18,0.0,0.0,1.2056343064353807e-20,1.2676356022320441e-20,0.0,2.9015216731282274e-18,2.9015216731282274e-18,1.641122788905516e-17,1.641122788905516e-17,1.641122788905516e-17,2.4450119687833277e-20,5.0746007446389064e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4579705435429825e-18,2.1780799851072346e-17,0.0,0.0,0.0,0.0
196.678,3.4491291582469037e-19,3.4491291582469037e-19,7.004827745059715e-19,3.9250111778738726e-19,0.0,0.0,1.8906684465949197e-18,8.846779960364746e-18,0.0,0.0,6.245144150410321e-21,1.0129186409053423e-20,0.0,2.839398869361115e-19,2.839398869361115e-19,1.6757109642362143e-17,1.6757109642362143e-17,1.6757109642362143e-17,2.0532613663862785e-20,1.0844904144316626e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4774939484742722e-18,2.1452082327881293e-17,0.0,0.0,0.0,0.0
