λ,σ_1,σ_2,σ_3,σ_4,σ_5,σ_6,σ_7,σ_8,σ_11,σ_12,σ_13,σ_14,σ_17,σ_15,σ_16,σ_18,σ_19,σ_20,σ_21,σ_22,σ_23,σ_24,σ_31,σ_32,σ_33,σ_34,σ_35,σ_41,σ_51,σ_52,σ_53,σ_54,σ_55,σ_56
196.948,3.4217822012080124e-19,3.4217822012080124e-19,6.920491062508127e-19,3.880961880233474e-19,0.0,0.0,1.9034902460589427e-18,8.594469009899481e-18,0.0,0.0,3.2808030879695568e-21,8.135993806362451e-21,0.0,2.785643033655918e-20,2.785643033655918e-20,1.7124389922235694e-17,1.7124389922235694e-17,1.7124389922235694e-17,1.711515635996682e-20,2.4203767913372933e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.498474538366526e-18,2.111640007390112e-17,0.0,0.0,0.0,0.0
197.218,3.396790577022095e-19,3.396790577022095e-19,6.837417888599559e-19,3.841531392653097e-19,0.0,0.0,1.9163229677176535e-18,8.343811220966966e-18,0.0,0.0,1.816906139497592e-21,6.572149085778157e-21,0.0,2.9054036720989036e-21,2.9054036720989036e-21,1.751643839844596e-17,1.751643839844596e-17,1.751643839844596e-17,1.4166971219612707e-20,5.596908789777904e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.520799878702066e-18,2.077422877721547e-17,0.0,0.0,0.0,0.0
197.488,3.374152522432003e-19,3.374152522432003e-19,6.755592707848092e-19,3.8065522698161855e-19,0.0,0.0,1.9293362693144776e-18,8.095123385917493e-18,0.0,0.0,1.093794366505489e-21,5.3414189693517345e-21,0.0,3.411577236543207e-22,3.411577236543207e-22,1.7932423700790395e-17,1.7932423700790395e-17,1.7932423700790395e-17,1.1651083285586285e-20,1.3295285841786992e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5443475836685542e-18,2.0426052910876315e-17,0.0,0.0,0.0,0.0
197.758,3.3538675384718944e-19,3.3538675384718944e-19,6.674999993641305e-19,3.7758670786404027e-19,0.0,0.0,1.9426730853940364e-18,7.84873035404238e-18,0.0,0.0,7.301880878710411e-22,4.36954449075458e-21,0.0,4.759139843026947e-23,4.759139843026947e-23,1.8367582142077828e-17,1.8367582142077828e-17,1.8367582142077828e-17,9.52634632846642e-21,3.214771568782221e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5689933869413756e-18,2.0072364175930135e-17,0.0,0.0,0.0,0.0
198.028,3.3359365793652916e-19,3.3359365793652916e-19,6.595624299149418e-19,3.749327729204348e-19,0.0,0.0,1.9564479430729455e-18,7.604952266690608e-18,0.0,0.0,5.447791465660434e-22,3.5992280122776505e-21,0.0,8.276359736983779e-24,8.276359736983779e-24,1.881435971820057e-17,1.881435971820057e-17,1.881435971820057e-17,7.749517339017386e-21,7.836498382669579e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5946046693049514e-18,1.9713659966515247e-17,0.0,0.0,0.0,0.0
198.297,3.320415561182865e-19,3.320415561182865e-19,6.517737425875427e-19,3.72687104125256e-19,0.0,0.0,1.970692237068266e-18,7.364907051636918e-18,0.0,0.0,4.526668709987788e-22,2.988264237526605e-21,0.0,1.8778916774105217e-24,1.8778916774105217e-24,1.9262102896360085e-17,1.9262102896360085e-17,1.9262102896360085e-17,6.282115124483277e-21,1.900523918040998e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6209414610930918e-18,1.935179473833703e-17,0.0,0.0,0.0,0.0
198.567,3.307193459990686e-19,3.307193459990686e-19,6.440745011297934e-19,3.7081990672992647e-19,0.0,0.0,1.9855681090266826e-18,7.127083229131363e-18,0.0,0.0,4.1251497091089536e-22,2.4980265497532365e-21,0.0,5.672469747779344e-25,5.672469747779344e-25,1.970544928735165e-17,1.970544928735165e-17,1.970544928735165e-17,5.071358278490821e-21,4.56992999909108e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6480503533393352e-18,1.898458053235318e-17,0.0,0.0,0.0,0.0
198.837,3.2963386956405107e-19,3.2963386956405107e-19,6.364923382823532e-19,3.693278602796094e-19,0.0,0.0,2.0010518097036015e-18,6.892635359298172e-18,0.0,0.0,4.0399884929791946e-22,2.1045881234184745e-21,0.0,2.342682595605239e-25,2.342682595605239e-25,2.013577914902679e-17,2.013577914902679e-17,2.013577914902679e-17,4.083890603481529e-21,1.0751440007449666e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6756788130242768e-18,1.861385957068482e-17,0.0,0.0,0.0,0.0
199.107,3.2878597532868087e-19,3.2878597532868087e-19,6.290257243698671e-19,3.681992374261012e-19,0.0,0.0,2.0171445591314628e-18,6.661737886564701e-18,0.0,0.0,4.147604469335277e-22,1.787436335127372e-21,0.0,1.3347895960343223e-25,1.3347895960343223e-25,2.0548989585467097e-17,2.0548989585467097e-17,2.0548989585467097e-17,3.2838538690889007e-21,2.4510502017626194e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.703663052135965e-18,1.824013637314577e-17,0.0,0.0,0.0,0.0
199.377,3.2817674030380853e-19,3.2817674030380853e-19,6.216731354680235e-19,3.674229219296371e-19,0.0,0.0,2.0338223289027493e-18,6.434618393192967e-18,0.0,0.0,4.353822298249869e-22,1.5306388096235701e-21,0.0,1.0461025262912372e-25,1.0461025262912372e-25,2.094422450243517e-17,2.094422450243517e-17,2.094422450243517e-17,2.6393470828760514e-21,5.365536866310818e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7318231020765996e-18,1.78639134446841e-17,0.0,0.0,0.0,0.0
199.647,3.2780748498601074e-19,3.2780748498601074e-19,6.144330504491557e-19,3.6698834783608707e-19,0.0,0.0,2.0510378674181853e-18,6.21151594092712e-18,0.0,0.0,4.572665135794197e-22,1.321790495043353e-21,0.0,1.111102217835142e-25,1.111102217835142e-25,2.1323550225071513e-17,2.1323550225071513e-17,2.1323550225071513e-17,2.1225806125034353e-21,1.1185033145216948e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7599843216179316e-18,1.748568977844554e-17,0.0,0.0,0.0,0.0
199.916,3.2767981281446895e-19,3.2767981281446895e-19,6.073301623834814e-19,3.6688521726749187e-19,0.0,0.0,2.068656676743434e-18,5.99332490993853e-18,0.0,0.0,4.727933904778044e-22,1.1517775752876492e-21,0.0,1.5557178600489924e-25,1.5557178600489924e-25,2.1689576838365783e-17,2.1689576838365783e-17,2.1689576838365783e-17,1.7111514914485393e-21,2.198906106155528e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7878506384627672e-18,1.7107368028265696e-17,0.0,0.0,0.0,0.0
200.186,3.2779461863186023e-19,3.2779461863186023e-19,6.003101547112661e-19,3.671031416912871e-19,0.0,0.0,2.0867232164450288e-18,5.778666071939207e-18,0.0,0.0,4.770149253341265e-22,1.01177273199672e-21,0.0,2.777857990919462e-25,2.777857990919462e-25,2.204960411038289e-17,2.204960411038289e-17,2.204960411038289e-17,1.3820569713152226e-21,4.072494470314026e-22,0.0,0.0,0.0,0.0,0.0,1.9729632027198814e-19,0.0,0.0,1.8154315226972624e-18,1.672662165113847e-17,0.0,0.0,0.0,0.0
200.456,3.281549602205482e-19,3.281549602205482e-19,5.93398143503304e-19,3.67633827454107e-19,0.0,0.0,2.105069886498634e-18,5.5684305299649794e-18,0.0,0.0,4.686097227273866e-22,8.965117612350114e-22,0.0,6.050073531167875e-25,6.050073531167875e-25,2.240603698716234e-17,2.240603698716234e-17,2.240603698716234e-17,1.120399502641166e-21,7.053528398839471e-22,0.0,0.0,0.0,0.0,0.0,1.9568232658672615e-19,0.0,0.0,1.8424272299511553e-18,1.634533471654148e-17,0.0,0.0,0.0,0.0
200.726,3.287632712638976e-19,3.287632712638976e-19,5.8659263539085385e-19,3.6846829887621122e-19,0.0,0.0,2.1235800966437884e-18,5.362791504022201e-18,0.0,0.0,4.501348041337867e-22,8.012965692963413e-22,0.0,1.5295666023522329e-24,1.5295666023522329e-24,2.2760725033440715e-17,2.2760725033440715e-17,2.2760725033440715e-17,9.125658822881703e-22,1.1387938755678787e-21,0.0,0.0,0.0,0.0,0.0,1.927173333216186e-19,0.0,0.0,1.868627306472471e-18,1.596397845654627e-17,0.0,0.0,0.0,0.0
200.996,3.296222972464317e-19,3.296222972464317e-19,5.798921543911675e-19,3.695978310885989e-19,0.0,0.0,2.1421260780042457e-18,5.1618372859105574e-18,0.0,0.0,4.264817885821874e-22,7.224125209881615e-22,0.0,4.2580369004819935e-24,4.2580369004819935e-24,2.3112901152766086e-17,2.3112901152766086e-17,2.3112901152766086e-17,7.475121561706717e-22,1.7110747732187914e-21,0.0,0.0,0.0,0.0,0.0,1.8857555827287063e-19,0.0,0.0,1.893821520464345e-18,1.5583013985348105e-17,0.0,0.0,0.0,0.0
201.265,3.307305145081282e-19,3.307305145081282e-19,5.733194673895669e-19,3.710081307944181e-19,0.0,0.0,2.1605033953389633e-18,4.966357615623442e-18,0.0,0.0,4.0301051898145775e-22,6.571335596411522e-22,0.0,1.2325354985653847e-23,1.2325354985653847e-23,2.3457839841038054e-17,2.3457839841038054e-17,2.3457839841038054e-17,6.167897247246392e-22,2.3899707896817427e-21,0.0,0.0,0.0,0.0,0.0,1.834650385385889e-19,0.0,0.0,1.9177148158609558e-18,1.5204296949760513e-17,0.0,0.0,0.0,0.0
201.535,3.3209955870512816e-19,3.3209955870512816e-19,5.668242490685797e-19,3.727013166554918e-19,0.0,0.0,2.178706379452922e-18,4.775021646307837e-18,0.0,0.0,3.837933587039477e-22,6.026347766471429e-22,0.0,3.553108432866862e-23,3.553108432866862e-23,2.3792493866775158e-17,2.3792493866775158e-17,2.3792493866775158e-17,5.123561724579819e-22,3.1158903870470673e-21,0.0,0.0,0.0,0.0,0.0,1.775384557364089e-19,0.0,0.0,1.940274594068868e-18,1.4825447829429847e-17,0.0,0.0,0.0,0.0
201.805,3.337295374346811e-19,3.337295374346811e-19,5.604296766045979e-19,3.7466436252124265e-19,0.0,0.0,2.1965198411262588e-18,4.588608221622925e-18,0.0,0.0,3.716382715168434e-22,5.573069934951341e-22,0.0,9.699294674130801e-23,9.699294674130801e-23,2.4108854468735662e-17,2.4108854468735662e-17,2.4108854468735662e-17,4.291248079720254e-22,3.798285923621078e-21,0.0,0.0,0.0,0.0,0.0,1.7100016134626427e-19,0.0,0.0,1.9611996881362268e-18,1.444830061826326e-17,0.0,0.0,0.0,0.0
202.075,3.356245675428395e-19,3.356245675428395e-19,5.54134297998217e-19,3.7688898976705823e-19,0.0,0.0,2.2137957037386777e-18,4.407139775673337e-18,0.0,0.0,3.6780851210521883e-22,5.196480659405032e-22,0.0,2.409837153738118e-22,2.409837153738118e-22,2.4400372839580338e-17,2.4400372839580338e-17,2.4400372839580338e-17,3.6264864536056953e-22,4.348651905889966e-21,0.0,0.0,0.0,0.0,0.0,1.6402660076659696e-19,0.0,0.0,1.9802843572107173e-18,1.4073265394246356e-17,0.0,0.0,0.0,0.0
202.344,3.377806193247385e-19,3.377806193247385e-19,5.479594583596373e-19,3.793572639252421e-19,0.0,0.0,2.2303267952556856e-18,4.231341111595231e-18,0.0,0.0,3.7235618664311655e-22,4.885559428733922e-22,0.0,5.269272091875214e-22,5.269272091875214e-22,2.4661215180144738e-17,2.4661215180144738e-17,2.4661215180144738e-17,3.0960440755610945e-22,4.701809049191165e-21,0.0,0.0,0.0,0.0,0.0,1.5680605013142077e-19,0.0,0.0,1.9972735346290948e-18,1.3702111820657751e-17,0.0,0.0,0.0,0.0
202.614,3.4021858271788005e-19,3.4021858271788005e-19,5.418578316402189e-19,3.8207919058522303e-19,0.0,0.0,2.2460925963306922e-18,4.0599023201149406e-18,0.0,0.0,3.8440123885990336e-22,4.628297908279961e-22,0.0,9.98605934559463e-22,9.98605934559463e-22,2.489097031473607e-17,2.489097031473607e-17,2.489097031473607e-17,2.668583347118582e-22,4.835556916086309e-21,0.0,0.0,0.0,0.0,0.0,1.4942712099944655e-19,0.0,0.0,2.012105411142421e-18,1.3332458502749277e-17,0.0,0.0,0.0,0.0
202.884,3.4293621582419363e-19,3.4293621582419363e-19,5.358511395179129e-19,3.8503756605140425e-19,0.0,0.0,2.2608921170519674e-18,3.893514720793021e-18,0.0,0.0,4.02055818926174e-22,4.418108134360375e-22,0.0,1.6175345484707444e-21,1.6175345484707444e-21,2.5089509077547436e-17,2.5089509077547436e-17,2.5089509077547436e-17,2.3247635564103545e-22,4.763461936754411e-21,0.0,0.0,0.0,0.0,0.0,1.420390087954775e-19,0.0,0.0,2.024529358230802e-18,1.2966052918682559e-17,0.0,0.0,0.0,0.0
203.153,3.45927542024531e-19,3.45927542024531e-19,5.299597123520746e-19,3.882115214519332e-19,0.0,0.0,2.27454672324545e-18,3.732742606967095e-18,0.0,0.0,4.224046814662233e-22,4.249193589026409e-22,0.0,2.2360528580051586e-21,2.2360528580051586e-21,2.5260252124278025e-17,2.5260252124278025e-17,2.5260252124278025e-17,2.0486475791783438e-22,4.530830550775758e-21,0.0,0.0,0.0,0.0,0.0,1.3477084573629403e-19,0.0,0.0,2.0343553923319306e-18,1.2604577610426615e-17,0.0,0.0,0.0,0.0
203.423,3.492208813874096e-19,3.492208813874096e-19,5.241383587536328e-19,3.91615812960962e-19,0.0,0.0,2.287038781452066e-18,3.576376220570782e-18,0.0,0.0,4.420443842004778e-22,4.1151637546043894e-22,0.0,2.667883874776825e-21,2.667883874776825e-21,2.5410859657806532e-17,2.5410859657806532e-17,2.5410859657806532e-17,1.8250321545977886e-22,4.192602058288616e-21,0.0,0.0,0.0,0.0,0.0,1.2765099407339033e-19,0.0,0.0,2.0414982868910116e-18,1.2245672356665052e-17,0.0,0.0,0.0,0.0
203.693,3.528121744525985e-19,3.528121744525985e-19,5.18407774597869e-19,3.952299359786661e-19,0.0,0.0,2.2982088442935538e-18,3.4249952111558545e-18,0.0,0.0,4.571924143337625e-22,4.012540689033556e-22,0.0,2.790129182420035e-21,2.790129182420035e-21,2.5548263086642565e-17,2.5548263086642565e-17,2.5548263086642565e-17,1.6447384731764874e-22,3.8043227946268824e-21,0.0,0.0,0.0,0.0,0.0,1.2077091964370568e-19,0.0,0.0,2.0457890480196214e-18,1.1890998246465468e-17,0.0,0.0,0.0,0.0
203.962,3.5669339000319804e-19,3.5669339000319804e-19,5.127873261068691e-19,3.9902999094030233e-19,0.0,0.0,2.307932225573393e-18,3.279098188063552e-18,0.0,0.0,4.648574981831785e-22,3.9381637546026196e-22,0.0,2.6188834165891566e-21,2.6188834165891566e-21,2.567932753400789e-17,2.567932753400789e-17,2.567932753400789e-17,1.5001791000608818e-22,3.411542634266658e-21,0.0,0.0,0.0,0.0,0.0,1.1420198313948617e-19,0.0,0.0,2.0471125291435237e-18,1.1542135666733769e-17,0.0,0.0,0.0,0.0
204.232,3.6090078472896585e-19,3.6090078472896585e-19,5.072338728324488e-19,4.0303451957998744e-19,0.0,0.0,2.316207742232163e-18,3.137575624132072e-18,0.0,0.0,4.636858701279771e-22,3.888738482547794e-22,0.0,2.2660545121785445e-21,2.2660545121785445e-21,2.581062721940509e-17,2.581062721940509e-17,2.581062721940509e-17,1.3839921587273143e-22,3.041423919260534e-21,0.0,0.0,0.0,0.0,0.0,1.0792811090062027e-19,0.0,0.0,2.0453829319591543e-18,1.1196763760689564e-17,0.0,0.0,0.0,0.0
204.502,3.654283852079689e-19,3.654283852079689e-19,5.0176713232422825e-19,4.0721965979792106e-19,0.0,0.0,2.3229424989073374e-18,3.0008899710803983e-18,0.0,0.0,4.541610337596532e-22,3.8623601164620195e-22,0.0,1.8610458515509076e-21,1.8610458515509076e-21,2.594441978774129e-17,2.594441978774129e-17,2.594441978774129e-17,1.2918523371223062e-22,2.7126836680695662e-21,0.0,0.0,0.0,0.0,0.0,1.0199461438490334e-19,0.0,0.0,2.040523603380863e-18,1.085644312712726e-17,0.0,0.0,0.0,0.0
204.772,3.70284551525677e-19,3.70284551525677e-19,4.963857714106197e-19,4.115749207578403e-19,0.0,0.0,2.3281038911855174e-18,2.8690021886285386e-18,0.0,0.0,4.384782084272403e-22,3.857218870541078e-22,0.0,1.492829409441119e-21,1.492829409441119e-21,2.6079902450668095e-17,2.6079902450668095e-17,2.6079902450668095e-17,1.219927667336212e-22,2.4325913851575135e-21,0.0,0.0,0.0,0.0,0.0,9.641135520382178e-20,0.0,0.0,2.032483683524135e-18,1.0521410201245928e-17,0.0,0.0,0.0,0.0
205.041,3.754582588568687e-19,3.754582588568687e-19,4.911079374726594e-19,4.160723966284381e-19,0.0,0.0,2.3316719191680295e-18,2.7423085139691325e-18,0.0,0.0,4.19802269745676e-22,3.8717563419027957e-22,0.0,1.2013612214303446e-21,1.2013612214303446e-21,2.621217626645603e-17,2.621217626645603e-17,2.621217626645603e-17,1.1654240799053195e-22,2.2025492761026306e-21,0.0,0.0,0.0,0.0,0.0,9.119841451850627e-20,0.0,0.0,2.0212878253183272e-18,1.0193092769210196e-17,0.0,0.0,0.0,0.0
205.311,3.8099728265106296e-19,3.8099728265106296e-19,4.858930926446049e-19,4.20734220835086e-19,0.0,0.0,2.3336873313318765e-18,2.6197654994391754e-18,0.0,0.0,4.0110988018468484e-22,3.9048875303800543e-22,0.0,9.895613829072841e-22,9.895613829072841e-22,2.6334776696086483e-17,2.6334776696086483e-17,2.6334776696086483e-17,1.1256633325526652e-22,2.017688277850148e-21,0.0,0.0,0.0,0.0,0.0,8.631168347103688e-20,0.0,0.0,2.006856425011936e-18,9.869248284619842e-18,0.0,0.0,0.0,0.0
205.58,3.8687035543123737e-19,3.8687035543123737e-19,4.807785812833599e-19,4.2551416472100954e-19,0.0,0.0,2.334173566390903e-18,2.5022358960434802e-18,0.0,0.0,3.8504696077538613e-22,3.9553937056968855e-22,0.0,8.489398450709473e-22,8.489398450709473e-22,2.6437490954703882e-17,2.6437490954703882e-17,2.6437490954703882e-17,1.099226735872975e-22,1.87440872752934e-21,0.0,0.0,0.0,0.0,0.0,8.177692630307216e-20,7.777001261546716e-20,0.0,1.989319614671352e-18,9.552454756401385e-18,0.0,0.0,0.0,0.0
205.85,3.931314645714335e-19,3.931314645714335e-19,4.757250978665636e-19,4.3043555084677786e-19,0.0,0.0,2.333197014241745e-18,2.388726894419518e-18,0.0,0.0,3.7313857999984935e-22,4.02283852042554e-22,0.0,7.650883748316506e-22,7.650883748316506e-22,2.6511335682379556e-17,2.6511335682379556e-17,2.6511335682379556e-17,1.0846442025256907e-22,1.7660798744068284e-21,0.0,0.0,0.0,0.0,0.0,7.754615234931697e-20,7.673180772560893e-20,0.0,1.9685967713008223e-18,9.240518671893816e-18,0.0,0.0,0.0,0.0
206.12,3.9977031787877267e-19,3.9977031787877267e-19,4.707505406623613e-19,4.354681322245696e-19,0.0,0.0,2.3308395378986027e-18,2.279589723584303e-18,0.0,0.0,3.6620989425377946e-22,4.1063762034541675e-22,0.0,7.272190874673073e-22,7.272190874673073e-22,2.654731362164605e-17,2.654731362164605e-17,2.654731362164605e-17,1.0811304377713601e-22,1.6877883228983677e-21,0.0,0.0,0.0,0.0,0.0,7.361985108594747e-20,7.536815076509859e-20,0.0,1.9448227797090497e-18,8.934773011154427e-18,0.0,0.0,0.0,0.0
206.389,4.067715576974805e-19,4.067715576974805e-19,4.65871651030413e-19,4.4057954903659e-19,0.0,0.0,2.327225303189166e-18,2.1751271314506463e-18,0.0,0.0,3.6424036311905507e-22,4.2050090102412734e-22,0.0,7.269561668088744e-22,7.269561668088744e-22,2.6539608237551964e-17,2.6539608237551964e-17,2.6539608237551964e-17,1.0880440121234521e-22,1.6345213513088526e-21,0.0,0.0,0.0,0.0,0.0,6.999229079801637e-20,7.373729695080414e-20,0.0,1.9182041444398855e-18,8.636441561124861e-18,0.0,0.0,0.0,0.0
206.659,4.1419914233229394e-19,4.1419914233229394e-19,4.610509132314356e-19,4.457941877113799e-19,0.0,0.0,2.322455384057852e-18,2.074453583330324e-18,0.0,0.0,3.665548899358398e-22,4.318922204652076e-22,0.0,7.582865643073217e-22,7.582865643073217e-22,2.648576807293854e-17,2.648576807293854e-17,2.648576807293854e-17,1.1051043664659073e-22,1.6011447693154723e-21,0.0,0.0,0.0,0.0,0.0,6.661687808174435e-20,7.187792017742173e-20,0.0,1.8886585972755884e-18,8.343415172527239e-18,0.0,0.0,0.0,0.0
206.929,4.220402575781893e-19,4.220402575781893e-19,4.563053825665316e-19,4.51079105271037e-19,0.0,0.0,2.3166862062266233e-18,1.977856068166845e-18,0.0,0.0,3.7198993120233557e-22,4.447250855233335e-22,0.0,8.158497224478549e-22,8.158497224478549e-22,2.638696155510279e-17,2.638696155510279e-17,2.638696155510279e-17,1.1322010781416878e-22,1.5835182346240698e-21,0.0,0.0,0.0,0.0,0.0,6.348756507964699e-20,6.984434041624696e-20,0.0,1.856422639426663e-18,8.056907029537014e-18,0.0,0.0,0.0,0.0
207.198,4.302765147085509e-19,4.302765147085509e-19,4.516510062988852e-19,4.563998821389283e-19,0.0,0.0,2.31010231366776e-18,1.8855649274233014e-18,0.0,0.0,3.789672401235982e-22,4.588912630973023e-22,0.0,8.925648583404495e-22,8.925648583404495e-22,2.624808756746089e-17,2.624808756746089e-17,2.624808756746089e-17,1.1692770689362187e-22,1.5775866699618766e-21,0.0,0.0,0.0,0.0,0.0,6.059475767112701e-20,6.769016438842173e-20,0.0,1.8217909020400478e-18,7.778017524549559e-18,0.0,0.0,0.0,0.0
207.468,4.389826990585056e-19,4.389826990585056e-19,4.470519842712093e-19,4.61781150830859e-19,0.0,0.0,2.302822317188702e-18,1.7967868830389248e-18,0.0,0.0,3.8583293346618123e-22,4.744403186987366e-22,0.0,9.793243567615985e-22,9.793243567615985e-22,2.6074311945396762e-17,2.6074311945396762e-17,2.6074311945396762e-17,1.2168910055885452e-22,1.5795576859758998e-21,0.0,0.0,0.0,0.0,0.0,5.789751055359417e-20,6.544059326577192e-20,0.0,1.7846796821095817e-18,7.504732957652522e-18,0.0,0.0,0.0,0.0
