λ,σ,uncertainty
200,7.87e-19,4.6e-20
202,7.87e-19,4.6e-20
204,7.72e-19,4.6e-20
206,7.41e-19,4.2e-20
208,6.95e-19,3.8e-20
210,6.46e-19,3.8e-20
212,5.92e-19,3.4e-20
214,5.27e-19,3.1e-20
216,4.7e-19,3.1e-20
218,4.13e-19,2.7e-20
220,3.51e-19,1.9e-20
222,3.02e-19,1.5e-20
224,2.56e-19,1.1e-20
226,2.18e-19,1.9e-20
228,1.76e-19,8.0e-21
230,1.43e-19,5.0e-21
232,1.14e-19,4.0e-21
234,9.05e-20,3.4e-21
236,7.14e-20,2.3e-21
238,5.69e-20,1.5e-21
240,4.28e-20,2.7e-21
242,3.29e-20,8.0e-22
244,2.27e-20,5.0e-22
246,1.78e-20,4.0e-22
248,1.28e-20,4.0e-22
250,9.28e-21,3.8e-22
252,6.57e-21,3.8e-22
254,4.7e-21,3.1e-22
256,3.29e-21,3.1e-22
258,2.29e-21,3.1e-22
260,1.49e-21,1.9e-22
