λ,σ,uncertainty
300,3.8e-22,4.6e-22
310,1.1e-21,4.2e-22
320,3.1e-21,2.6e-21
330,1.4e-20,3.0e-21
340,3.7e-20,2.1e-21
350,8.03e-20,2.0e-21
360,1.47e-19,9.9e-22
370,2.34e-19,2.4e-21
380,3.26e-19,7.6e-22
385,3.71e-19,2.3e-21
390,4.13e-19,3.2e-21
395,4.47e-19,3.1e-21
400,4.78e-19,3.3e-21
404,4.97e-19,1.1e-21
408,5.12e-19,2.8e-21
412,5.24e-19,2.6e-21
416,5.28e-19,3.8e-21
420,5.32e-19,3.7e-21
424,5.32e-19,3.8e-21
428,5.28e-19,2.3e-21
430,5.24e-19,3.0e-21
440,5.01e-19,1.8e-21
450,4.78e-19,6.1e-22
460,4.47e-19,1.6e-21
470,4.13e-19,2.1e-21
480,3.82e-19,1.8e-21
490,3.48e-19,6.1e-22
500,3.12e-19,7.3e-22
510,2.76e-19,9.9e-22
514,2.59e-19,1.5e-21
520,2.35e-19,1.7e-21
530,1.96e-19,1.8e-21
540,1.6e-19,1.9e-21
550,1.31e-19,2.9e-21
560,1.09e-19,2.4e-21
570,9.06e-20,3.8e-22
580,7.61e-20,3.1e-22
590,5.39e-20,1.2e-21
600,4.44e-20,8.8e-22
610,3.2e-20,1.5e-21
620,2.6e-20,4.2e-22
630,2.1e-20,9.9e-22
640,1.4e-20,1.5e-21
650,1.1e-20,2.0e-21
675,4.6e-21,1.5e-21
700,1.5e-21,1.5e-21
725,1.1e-21,
750,7.6e-22,6.1e-22
