λ,σ,uncertainty
174,1.69e-18,3.0e-20
176,1.63e-18,3.0e-20
178     1.520e-18,2.0e-20,
180,1.29e-18,2.0e-20
182     1.160e-18,2.0e-20,
184     9.49e-19,2.0e-20,
186     7.32e-19,1.3e-20,
188     5.29e-19,1.1e-20,
190     4.00e-19,8.0e-21,
192     2.63e-19,5.0e-21,
194     1.80e-19,4.0e-21,
196     1.24e-19,2.0e-21,
198     8.08e-20,1.4e-21,
200     5.09e-20,8.0e-22,
202     3.34e-20,6.0e-22,
204     2.11e-20,3.0e-22,
206     1.35e-20,2.0e-22,
208     8.62e-21,1.4e-22,
210     5.59e-21,9.0e-23,
212     3.55e-21,6.0e-23,
214     2.28e-21,4.0e-23,
216     1.44e-21,3.0e-23,
218     8.5e-22,,3.0e-23
220     5.8e-22,,3.0e-23
222     3.2e-22,,2.0e-23
