λ,σ,uncertainty
174,1.1e-18,1.8e-20
176,9.33e-19,1.5e-20
178,7.73e-19,1.4e-20
180,6.35e-19,1.1e-20
182,4.65e-19,8.0e-21
184,3.47e-19,6.0e-21
186,2.53e-19,4.0e-21
188,1.8e-19,3.0e-21
190,1.25e-19,2.0e-21
192,8.76e-20,1.6e-21
194,5.61e-20,1.6e-21
196,3.8e-20,7.0e-22
198,2.6e-20,5.0e-22
200,1.69e-20,3.0e-22
202,1.09e-20,2.0e-22
204,7.18e-21,1.1e-22
206,4.76e-21,8.0e-23
208,3.02e-21,5.0e-23
210,1.91e-21,4.0e-23
212,1.16e-21,3.0e-23
214,8.9e-22,3.0e-23
216,4.7e-22,3.0e-23
218,3.6e-22,3.0e-23
220,2.3e-22,3.0e-23
