λ,σ,uncertainty
192,2.231e-19,2.100e-21
193,2.464e-19,3.100e-21
194,2.602e-19,1.300e-21
wavel.,cross sect.,uncertainty (2 sigma)
196,2.971e-19,1.6e-21
198,3.324e-19,1.0e-21
200,3.772e-19,1.6e-21
202,4.143e-19,1.7e-21
204,4.480e-19,1.6e-21
206,4.859e-19,2.4e-21
208,5.121e-19,1.9e-21
210,5.412e-19,1.9e-21
212,5.664e-19,2.4e-21
214,5.762e-19,8.1e-21
216,5.961e-19,2.5e-21
218,5.920e-19,4.1e-21
220,5.945e-19,3.1e-21
222,5.776e-19,1.6e-21
224,5.587e-19,2.3e-21
226,5.339e-19,1.7e-21
228,4.922e-19,2.2e-21
230,4.446e-19,2.9e-21
232,4.087e-19,2.9e-21
234,3.647e-19,6.4e-21
236,3.193e-19,3.9e-21
238,2.667e-19,3.9e-21
240,2.314e-19,1.9e-21
242,1.844e-19,1.7e-21
244,1.448e-19,2.0e-21
246,1.207e-19,3.0e-22
248,9.582e-20,9.0e-22
250,7.541e-20,6.2e-22
252,5.967e-20,7.8e-22
254,4.469e-20,6.8e-22
256,3.361e-20,4.5e-22
258,2.220e-20,3.0e-22
260,1.789e-20,1.7e-22
262,1.307e-20,2.1e-22
264,1.024e-20,2.6e-22
