T,author_year,download_url,comments,formula,name,citation,fname
300.0,Liang(2007),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Liang(2007)_300K_140.00-226.42nm(15NH3).txt",Absorption measurements have been carried out in the regions of the A ← X (∼165-200 nm) and B ← X (∼140-170 nm) transitions of ,NH3,ammonia,"

  M.-C. Liang, B.-M. Cheng, H.-C. Lu, H.-K. Chen, M.S. Alam, Y.-P. Lee, and Y.L. Yung, ""Isotopic fractionation of nitrogen in ammonia in the troposphere of Jupiter"",
  Astrophys. J. Lett., 657, L117-L120 (2007); 


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Liang(2007)_300K_140.csv"
298.0,Lilly(1973-1974),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Lilly(1973-1974)_298K_104.8-106.7,123.6,147nm.txt","Absorption coefficients k (atm, 298 K)",NH3,ammonia,"

  R.L. Lilly, R.E. Rebbert, and P. Ausloos, ""Far ultra-violet photolysis of ammonia - Quantum yield determination for the primary process: NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Lilly(1973-1974)_298K_104.csv"
298.0,Limao-Vieira(2019),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Limao-Vieira(2019)_298K_114.84-227.54nm.txt",High-resolution (0.075 nm) absorption measurements using synchrotron radiation as a light source,NH3,ammonia,"

  P. Limão-Vieira,  N.C. Jones, S.V. Hoffmann, D. Duflot, M. Mendes, A.I. Lozano, F. Ferreira da Silva, G. G., M. Hoshino, and H. Tanaka, ""Revisiting the photoabsorption spectrum of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Limao-Vieira(2019)_298K_114.csv"
298.0,MetzgerCook(1964),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_MetzgerCook(1964)_298K_55-101nm.txt",Absorption measurements at a spectral resolution ot 0.05 nm using the Hopfield continuum light source,NH3,ammonia,"

  P.H. Metzger and G.R. Cook, ""On the continuous absorption, photoionization, and fluorescence of H","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_MetzgerCook(1964)_298K_55-101nm.csv"
298.0,Olive(2005),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Olive(2005)_298K_200-225nm.txt",Absorption measurements at a spectral resolution of 0.050 nm,NH3,ammonia,"

  B.S. Olive, ""Absorption spectra of ammonia, hydrogen sulfide, and several organic compounds"",
  Results from measurements at the Department of Chemistry and Industrial Hygiene, University of North Alabama, Florence, AL, 2005


","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Olive(2005)_298K_200-225nm.csv"
298.0,ReilhacDamany(1970),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_ReilhacDamany(1970)_298K_12.5-44.4nm.txt",Absorption measurements by photographic spectrometry using a grating spectrograph and a spark produced by an uranium anode as a light source,NH3,ammonia,"

  L. de Reilhac and N. Damany, ""Spectres d'absorption de H","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_ReilhacDamany(1970)_298K_12.csv"
298.0,ReilhacDamany(1977),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_ReilhacDamany(1977)_298K_10.5-50.0nm.txt",Absorption measurements by photographic spectrometry using a grating spectrograph and a spark produced by an uranium anode as a light source,NH3,ammonia,"

  L. de Reilhac and N. Damany, ""Photoabsorption cross-section measurements of some gases, from 10 to 50 nm"",
  J. Quant. Spectrosc. Radiat. Transfer 18, 121-131 (1977); 


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_ReilhacDamany(1977)_298K_10.csv"
298.0,Samson(1987),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_Samson(1987)_298K_8-112nm.txt",The absolute absorption cross sections were measured by a technique that requires a double ionization chamber,NH3,ammonia,"

  J.A.R. Samson, G.N. Haddad, and L.D. Kilcoyne, ""Absorption and dissociative photoionization cross sections of NH","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_Samson(1987)_298K_8-112nm.csv"
298.0,SouzaSrivastava(1996),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_SouzaSrivastava(1996)_298K_12.4-112.7nm.txt",The electron energy loss spectrum (EELS) of NH,NH3,ammonia,"

  A.C.A Souza and S.K. Srivastava, ""Photoabsorption cross sections of derived by the electron energy loss spectroscopy technique for ammonia, methane and acetylene in the photon energy range of 5 to 100 eV"",
  J. Braz. Chem. Soc. 7, 91-95 (1996); 


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_SouzaSrivastava(1996)_298K_12.csv"
295.0,SunWeissler(1955),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Nitrogen+compounds(N,H,O)/NH3_SunWeissler(1955)_295K_37-131nm.txt",Absorption measurements with a grazing incidence vacuum spectrograph and a condensed ac arc discharge as a light source,NH3,ammonia,"

  H. Sun and G.L. Weissler, ""Absorption cross sections of methane and ammonia in the vacuum ultraviolet"",
  J. Chem. Phys. 23, 1160-1164 (1955); 


  DOI: ","data/cross-sections/Nitrogen+compounds(N,H,O)/NH3/NH3_SunWeissler(1955)_295K_37-131nm.csv"
