λ,σ,uncertainty
254.8,253.2 - 256.4,4.35e-21
258.1,256.4 - 259.7,4.38e-21
261.4,259.7 - 263.2,6.87e-21
264.9,263.2 - 266.7,6.98e-21
268.5,266.7 - 270.3,1.11e-20
272.1,270.3 - 274.0,1.27e-20
275.9,274.0 - 277.8,1.89e-20
279.7,277.8 - 281.7,1.89e-20
283.7,281.7 - 285.7,2.72e-20
287.7,285.7 - 289.9,2.38e-20
292.0,289.9 - 294.1,2.93e-20
296.3,294.1 - 298.5,3.23e-20
300.8,298.5 - 303.0,1.58e-20
305.4,303.0 - 307.7,4.43e-20
310.1,307.7 - 312.5,1.67e-20
315.0,312.5 - 317.5,4.03e-20
320.0,317.5 - 322.5,1.47e-20
325.0,322.5 - 327.5,2.76e-20
330.0,327.5 - 332.5,1.91e-20
335.0,332.5 - 337.5,1.83e-21
340.0,337.5 - 342.5,2.28e-20
345.0,342.5 - 347.5,7.55e-21
350.0,347.5 - 352.5,2.2e-21
