λ,σ,uncertainty
251.7,250.0-253.3,2.64e-21
254.9,253.3-256.4,4.43e-21
258.1,256.4-259.7,4.36e-21
261.5,259.7-263.2,6.93e-21
265.0,263.2-266.7,7.01e-21
268.5,266.7-270.3,1.107e-20
272.2,270.3-274.0,1.263e-20
275.9,274.0-277.8,1.887e-20
279.8,277.8-281.7,1.887e-20
283.7,281.7-285.7,2.724e-20
287.8,285.7-289.9,2.361e-20
292.0,289.9-294.1,2.932e-20
296.3,294.1-298.5,3.252e-20
300.8,298.5-303.0,1.585e-20
305.4,303.0-307.7,4.406e-20
310.1,307.7-312.5,1.674e-20
315.0,312.5-317.5,4.023e-20
320.0,317.5-322.5,1.468e-20
325.0,322.5-327.5,2.761e-20
330.0,327.5-332.5,1.909e-20
335.0,332.5-337.5,1.83e-21
340.0,337.5-342.5,2.273e-20
345.0,342.5-347.5,7.55e-21
350.0,347.5-352.5,2.2e-21
