T,author_year,download_url,comments,formula,name,citation,fname
298.0,Au(1993),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/n-C7H16_Au(1993)_298K_5.6-177nm(e,e).txt","Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths df/dE (in 10",n-C7H16,n-heptane,"

  J.W. Au, G. Cooper, G.R. Burton, T.N. Olney, and C.E. Brion, ""The valence shell photoabsorption of the linear alkanes, C",data/cross-sections/Alkanes+alkyl radicals/Alkanes/n-C7H16/n-C7H16_Au(1993)_298K_5.csv
298.0,Lombos(1967),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/n-C7H16_Lombos(1967)_298K_115.9-164.5nm.txt,Absorption measurements using a hydrogen discharge tube as the light source and a vacuum spectrophotometer under 0.02 nm resolution,n-C7H16,n-heptane,"

  B.A. Lombos, P. Sauvageau, and C. Sandorfy, ""The electronic spectra of n-alkanes"",
  J. Mol. Spectrosc. 24, 253-269 (1967); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/n-C7H16/n-C7H16_Lombos(1967)_298K_115.csv
298.0,Lombos(1967),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/n-C7H16_Lombos(1967)_298K_116.0-162.5nm(max).txt,Absorption measurements using a hydrogen discharge tube as the light source and a vacuum spectrophotometer under 0.02 nm resolution,n-C7H16,n-heptane,"

  B.A. Lombos, P. Sauvageau, and C. Sandorfy, ""The electronic spectra of n-alkanes"",
  J. Mol. Spectrosc. 24, 253-269 (1967); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/n-C7H16/n-C7H16_Lombos(1967)_298K_116.csv
298.0,RaymondaSimpson(1967),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/n-C7H16_RaymondaSimpson(1967)_298K_118.6-168.2nm.txt,"Normal-incidence grating vacuum spectrograph, a Lyman intermittent spark as a light source, photographic plates, and a microdensitometer",n-C7H16,n-heptane,"

  J.W. Raymonda and W.T. Simpson, ""Experimental and theoretical study of sigma-bond electronic transitions in alkanes"",
  J. Chem. Phys. 47, 430-448 (1967); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/n-C7H16/n-C7H16_RaymondaSimpson(1967)_298K_118.csv
