λ,σ,uncertainty
190,2.3e-18,2.0e-19
192,2.5e-18,2.0e-19
194,2.7e-18,2.0e-19
196,2.9e-18,3.0e-19
198,3.0e-18,3.0e-19
200,3.1e-18,3.0e-19
202,3.1e-18,3.0e-19
204,3.0e-18,3.0e-19
206,2.9e-18,3.0e-19
208,2.8e-18,3.0e-19
210,2.6e-18,2.0e-19
212,2.3e-18,2.0e-19
214,2.1e-18,2.0e-19
216,1.9e-18,2.0e-19
218,1.7e-18,2.0e-19
220,1.5e-18,2.0e-19
222,1.3e-18,1.0e-19
224,1.1e-18,1.0e-19
226,8.9e-19,1.0e-19
228,7.5e-19,9.0e-20
230,6.2e-19,8.0e-20
232,5.0e-19,7.0e-20
234,4.1e-19,7.0e-20
236,3.2e-19,6.0e-20
238,2.6e-19,5.0e-20
240,2.0e-19,4.0e-20
242,1.6e-19,4.0e-20
244,1.1e-19,4.0e-20
246,9.3e-20,3.6e-20
248,7.1e-20,3.4e-20
250,5.9e-20,3.2e-20
252,4.4e-20,3.0e-20
254,4.0e-20,2.9e-20
256,2.8e-20,2.4e-20
258,2.1e-20,1.9e-20
260,1.9e-20,1.8e-20
262,1.7e-20,1.6e-20
264,1.4e-20,1.3e-20
266,1.1e-20,1.1e-20
268,9.0e-21,9.0e-21
270,7.0e-21,8.0e-21
