λ,σ,uncertainty
189.0,1.83e-19,1.34e-19
193.0,3.9e-19,1.91e-19
194.0,4.62e-19,2.33e-19
197.0,1.66e-18,3.7e-19
200.0,5.66e-18,1.2e-19
201.0,8.61e-18,1.9e-19
203.0,1.69e-17,3.3e-19
205.5,2.95e-17,5.7e-19
207.0,4.34e-17,8.7e-19
210.0,6.47e-17,1.25e-18
211.0,6.91e-17,1.35e-18
213.0,7.27e-17,1.4e-18
216.0,7.06e-17,1.4e-18
220.0,6.07e-17,1.19e-18
224.0,4.74e-17,9.5e-19
230.0,2.99e-17,6.0e-19
235.0,1.92e-17,4.2e-19
240.0,1.09e-17,2.0e-19
250.0,3.6e-18,6.2e-19
260.0,1.17e-18,2.8e-19
270.0,4.01e-19,1.41e-18
280.0,1.95e-19,1.15e-18
290.0,1.68e-19,8.8e-19
300.0,1.8e-19,8.8e-19
