T,author_year,download_url,comments,formula,name,citation,fname
298.0,Gilbert(1972),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_Gilbert(1972)_298K_119.5-210.8nm.txt",Absorption measurements using a hydrogen discharge tube as the light source and a vacuum spectrophotometer under 0.02 nm resolution,"1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  R. Gilbert, P. Sauvageau, and C. Sandorfy, ""Valence-shell transitions in the vacuum-ultraviolet spectra of fluorobenzenes"",
  Can. J. Chem. 50, 543-547 (1972); 


  DOI: ","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_Gilbert(1972)_298K_119.csv"
298.0,Gilbert(1972),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_Gilbert(1972)_298K_119.8-162.0nm.txt",Absorption measurements using a hydrogen discharge tube as the light source and a vacuum spectrophotometer under 0.02 nm resolution,"1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  R. Gilbert, P. Sauvageau, and C. Sandorfy, ""Valence-shell transitions in the vacuum-ultraviolet spectra of fluorobenzenes"",
  Can. J. Chem. 50, 543-547 (1972); 


  DOI: ","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_Gilbert(1972)_298K_119.csv"
298.0,Gilbert(1972),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_Gilbert(1972)_298K_185.59,199.20nm(max).txt",Absorption measurements using a hydrogen discharge tube as the light source and a vacuum spectrophotometer under 0.02 nm resolution,"1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  R. Gilbert, P. Sauvageau, and C. Sandorfy, ""Valence-shell transitions in the vacuum-ultraviolet spectra of fluorobenzenes"",
  Can. J. Chem. 50, 543-547 (1972); 


  DOI: ","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_Gilbert(1972)_298K_185.csv"
298.0,Philis(1981),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_Philis(1981)_298K_130.7-280.3nm.txt","Absorption measurement using a Rank-Hilger 776 monochromator, a McPherson hydrogen light source, a dual-beam sample chamber, and a detection system (spectral resolution 0.25  nm)","1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  J. Philis, A. Bolovinos, G. Andritsopoulos, E. Pantos, and P. Tsekeris, ""A comparison of the absorption spectra of the fluorobenzenes and benzene in the region 4.5-9.5 eV"",
  J. Phys. B: At. Mol. Phys. 14, 3621-3635 (1981); 


  DOI: ","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_Philis(1981)_298K_130.csv"
298.0,PottierSemeluk(1976),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_120.5-159.6nm.txt",Deuterium light source and VUV-double-beam spectrophotometer,"1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  R. Pottier and G. Semeluk, ""Spectrophotometric studies of the fluorinated benzenes in the near and far UV"",
  Can. J. Spectrosc. 21, 83-95 (1976)


","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_120.csv"
298.0,PottierSemeluk(1976),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_161.1-184.8nm.txt",Deuterium light source and VUV-double-beam spectrophotometer,"1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  R. Pottier and G. Semeluk, ""Spectrophotometric studies of the fluorinated benzenes in the near and far UV"",
  Can. J. Spectrosc. 21, 83-95 (1976)


","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_161.csv"
298.0,PottierSemeluk(1976),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_175-269nm(sh,max).txt",Deuterium light source and VUV-double-beam spectrophotometer,"1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  R. Pottier and G. Semeluk, ""Spectrophotometric studies of the fluorinated benzenes in the near and far UV"",
  Can. J. Spectrosc. 21, 83-95 (1976)


","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_175-269nm(sh,max).csv"
298.0,PottierSemeluk(1976),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_187.0-211.2nm.txt",Deuterium light source and VUV-double-beam spectrophotometer,"1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  R. Pottier and G. Semeluk, ""Spectrophotometric studies of the fluorinated benzenes in the near and far UV"",
  Can. J. Spectrosc. 21, 83-95 (1976)


","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_187.csv"
298.0,PottierSemeluk(1976),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Aromatic%20compounds/Halogenated%20benzenes/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_239.1-274.2nm.txt",Deuterium light source and VUV-double-beam spectrophotometer,"1,2,4-C6H3F3","1,2,4-trifluorobenzene","

  R. Pottier and G. Semeluk, ""Spectrophotometric studies of the fluorinated benzenes in the near and far UV"",
  Can. J. Spectrosc. 21, 83-95 (1976)


","data/cross-sections/Aromatic compounds/Halogenated benzenes/1,2,4-C6H3F3/1,2,4-C6H3F3_PottierSemeluk(1976)_298K_239.csv"
