Î»,Ïƒ,uncertainty
124.98,5.0565e-17,1.531e-18
125.03,5.0403e-17,1.538e-18
125.08,5.0242e-17,1.549e-18
125.13,5.0080e-17,1.566e-18
125.18,4.9998e-17,1.593e-18
125.23,4.9964e-17,1.631e-18
125.28,4.9931e-17,1.676e-18
125.33,4.9897e-17,1.726e-18
125.38,4.9722e-17,1.657e-18
125.43,4.9511e-17,1.575e-18
125.48,4.9300e-17,1.516e-18
125.53,4.9089e-17,1.482e-18
125.58,4.9303e-17,1.489e-18
125.63,4.9535e-17,1.496e-18
125.68,4.9767e-17,1.503e-18
125.73,4.9962e-17,1.51e-18
125.78,4.9881e-17,1.512e-18
125.83,4.9800e-17,1.516e-18
125.88,4.9719e-17,1.522e-18
125.93,4.9640e-17,1.527e-18
125.98,4.9567e-17,1.528e-18
126.03,4.9493e-17,1.529e-18
126.08,4.9420e-17,1.531e-18
126.13,4.9374e-17,1.535e-18
126.18,4.9359e-17,1.543e-18
126.23,4.9344e-17,1.552e-18
126.28,4.9328e-17,1.562e-18
126.33,4.9160e-17,1.548e-18
126.38,4.8906e-17,1.522e-18
126.43,4.8653e-17,1.499e-18
126.48,4.8399e-17,1.478e-18
126.53,4.8386e-17,1.484e-18
126.58,4.8427e-17,1.496e-18
126.63,4.8467e-17,1.511e-18
126.68,4.8508e-17,1.527e-18
126.73,4.8312e-17,1.525e-18
126.78,4.8111e-17,1.523e-18
126.83,4.7910e-17,1.521e-18
126.88,4.7764e-17,1.518e-18
126.93,4.7904e-17,1.512e-18
126.98,4.8045e-17,1.506e-18
127.03,4.8186e-17,1.501e-18
127.08,4.8269e-17,1.492e-18
127.13,4.8237e-17,1.476e-18
127.18,4.8206e-17,1.464e-18
127.23,4.8175e-17,1.455e-18
127.28,4.8062e-17,1.454e-18
127.33,4.7868e-17,1.464e-18
127.38,4.7674e-17,1.483e-18
127.43,4.7480e-17,1.511e-18
127.48,4.7316e-17,1.51e-18
127.53,4.7164e-17,1.493e-18
127.58,4.7013e-17,1.477e-18
127.63,4.6862e-17,1.462e-18
