λ,σ,uncertainty
174,4.850e-18,1.1e-19
176,5.010e-18,1.0e-19
178,4.750e-18,1.0e-19
180     3.900e-18,8.0e-20,
182     3.160e-18,7.0e-20,
184     2.410e-18,5.0e-20,
186     1.780e-18,4.0e-20,
188     1.410e-18,3.0e-20,
190     1.130e-18,3.0e-20,
192     9.15e-19,2.0e-20,
194     7.61e-19,1.8e-20,
196     6.41e-19,1.6e-20,
198     5.34e-19,1.2e-20,
200,4.29e-19,1.0e-20
202     3.44e-19,7.0e-21,
204     2.66e-19,6.0e-21,
206     2.06e-19,5.0e-21,
208     1.48e-19,3.0-21,
210     1.08e-19,2.0e-21,
212     7.79e-20,1.6e-21,
214     5.44e-20,1.0e-21,
216     3.79e-20,6.0e-22,
218     2.56e-20,4.0e-22,
220     1.75e-20,3.0e-22,
222     1.20e-20,2.0e-22,
224     7.96e-21,1.2e-22,
226     5.45e-21,9.0e-23,
