λ,σ,uncertainty
230,3.81e-21,2.5e-22
231,3.66e-21,2.6e-22
232,3.91e-21,5.0e-23
233,3.96e-21,4.0e-23
234,4.0e-21,1.5e-22
235,4.22e-21,2.8e-22
236,4.32e-21,2.6e-22
237,4.44e-21,5.0e-23
238,4.51e-21,3.0e-23
239,4.82e-21,2.8e-22
240,4.97e-21,2.4e-22
241,5.27e-21,2.9e-22
242,5.42e-21,1.3e-22
243,5.59e-21,1.1e-22
244,5.88e-21,1.0e-23
245,6.14e-21,1.0e-22
246,6.31e-21,3.0e-23
247,6.61e-21,7.0e-23
248,6.93e-21,4.0e-23
249,7.33e-21,1.4e-22
250,7.77e-21,2.4e-22
251,8.27e-21,2.5e-22
252,8.73e-21,3.2e-22
253,9.06e-21,4.2e-22
254,9.56e-21,5.7e-22
255,1.01e-20,5.0e-22
256,1.08e-20,5.0e-22
257,1.16e-20,5.0e-22
258,1.28e-20,3.0e-22
259,1.35e-20,2.0e-22
260,1.41e-20,3.0e-22
261,1.47e-20,3.0e-22
262,1.54e-20,4.0e-22
263,1.64e-20,2.0e-22
264,1.78e-20,2.0e-22
265,1.9e-20,5.0e-22
266,2.0e-20,6.0e-22
267,2.07e-20,6.0e-22
268,2.12e-20,6.0e-22
269,2.18e-20,7.0e-22
270,2.27e-20,6.0e-22
271,2.4e-20,4.0e-22
272,2.58e-20,3.0e-22
273,2.72e-20,7.0e-22
274,2.82e-20,7.0e-22
275,2.86e-20,7.0e-22
276,2.89e-20,7.0e-22
277,2.9e-20,7.0e-22
278,2.95e-20,6.0e-22
279,3.06e-20,6.0e-22
280,3.23e-20,6.0e-22
281,3.39e-20,6.0e-22
282,3.48e-20,9.0e-22
283,3.52e-20,7.0e-22
284,3.5e-20,7.0e-22
285,3.48e-20,8.0e-22
286,3.46e-20,6.0e-22
287,3.49e-20,5.0e-22
288,3.57e-20,5.0e-22
289,3.69e-20,5.0e-22
290,3.78e-20,4.0e-22
291,3.82e-20,7.0e-22
292,3.76e-20,7.0e-22
293,3.71e-20,6.0e-22
294,3.64e-20,6.0e-22
295,3.57e-20,6.0e-22
296,3.53e-20,7.0e-22
297,3.57e-20,5.0e-22
298,3.65e-20,6.0e-22
299,3.72e-20,7.0e-22
300,3.7e-20,9.0e-22
301,3.6e-20,9.0e-22
302,3.41e-20,6.0e-22
303,3.24e-20,6.0e-22
304,3.12e-20,7.0e-22
305,3.03e-20,3.0e-22
306,2.98e-20,5.0e-22
307,2.97e-20,6.0e-22
308,3.03e-20,3.0e-22
309,3.1e-20,6.0e-22
310,3.11e-20,8.0e-22
311,2.99e-20,6.0e-22
312,2.77e-20,6.0e-22
313,2.48e-20,9.0e-22
314,2.24e-20,5.0e-22
315,2.04e-20,4.0e-22
316,1.91e-20,5.0e-22
317,1.86e-20,2.0e-22
318,1.87e-20,2.0e-22
319,1.85e-20,2.0e-22
320,1.91e-20,1.0e-22
321,1.94e-20,3.0e-22
322,1.91e-20,3.0e-22
323,1.77e-20,3.0e-22
324,1.58e-20,4.0e-22
325,1.32e-20,4.0e-22
326,1.08e-20,5.0e-22
327,9.39e-21,4.7e-22
328,7.95e-21,2.6e-22
329,7.35e-21,2.8e-22
330,7.09e-21,2.3e-22
331,7.3e-21,2.1e-22
332,6.95e-21,3.3e-22
333,6.8e-21,8.0e-23
334,7.02e-21,2.4e-22
335,6.81e-21,2.7e-22
336,6.54e-21,1.4e-22
337,5.29e-21,2.1e-22
338,4.32e-21,1.0e-23
339,3.27e-21,3.2e-22
340,2.3e-21,2.4e-22
341,1.63e-21,8.0e-23
342,1.19e-21,1.2e-22
343,9.74e-22,1.72e-22
344,1.03e-21,5.0e-23
345,7.52e-22,2.11e-22
346,7.58e-22,1.49e-22
347,7.14e-22,2.0e-23
348,6.41e-22,3.9e-23
349,4.84e-22,2.0e-23
350,5.8e-22,8.0e-23
