Î»,Ïƒ,uncertainty
138.73,4.0798e-17,4.55e-19
138.78,4.0847e-17,4.58e-19
138.83,4.0896e-17,4.6e-19
138.88,4.0922e-17,4.62e-19
138.93,4.0873e-17,4.62e-19
138.98,4.0825e-17,4.63e-19
139.03,4.0777e-17,4.64e-19
139.08,4.0684e-17,4.62e-19
139.13,4.0535e-17,4.58e-19
139.18,4.0385e-17,4.54e-19
139.23,4.0236e-17,4.5e-19
139.28,4.0084e-17,4.47e-19
139.33,3.9930e-17,4.44e-19
139.38,3.9776e-17,4.41e-19
139.43,3.9621e-17,4.39e-19
139.48,3.9490e-17,4.38e-19
139.53,3.9362e-17,4.37e-19
139.58,3.9234e-17,4.36e-19
139.63,3.9112e-17,4.35e-19
139.68,3.9051e-17,4.35e-19
139.73,3.8990e-17,4.35e-19
139.78,3.8929e-17,4.35e-19
139.83,3.8864e-17,4.35e-19
139.88,3.8789e-17,4.34e-19
139.93,3.8714e-17,4.32e-19
139.98,3.8639e-17,4.31e-19
140.03,3.8549e-17,4.29e-19
140.08,3.8445e-17,4.26e-19
140.13,3.8341e-17,4.23e-19
140.18,3.8237e-17,4.2e-19
140.23,3.8124e-17,4.19e-19
140.28,3.8006e-17,4.17e-19
140.33,3.7888e-17,4.16e-19
140.38,3.7771e-17,4.14e-19
140.43,3.7662e-17,4.13e-19
140.48,3.7553e-17,4.11e-19
140.53,3.7445e-17,4.1e-19
140.58,3.7327e-17,4.08e-19
140.63,3.7145e-17,4.04e-19
140.68,3.6962e-17,4.01e-19
140.73,3.6780e-17,3.98e-19
140.78,3.6614e-17,3.95e-19
140.83,3.6476e-17,3.94e-19
140.88,3.6338e-17,3.92e-19
140.93,3.6199e-17,3.91e-19
140.98,3.6100e-17,3.9e-19
141.03,3.6028e-17,3.89e-19
141.08,3.5956e-17,3.88e-19
141.13,3.5884e-17,3.88e-19
141.18,3.5793e-17,3.87e-19
141.23,3.5696e-17,3.86e-19
141.28,3.5600e-17,3.86e-19
141.33,3.5504e-17,3.85e-19
141.38,3.5451e-17,3.86e-19
141.43,3.5398e-17,3.87e-19
141.48,3.5345e-17,3.88e-19
141.53,3.5303e-17,3.89e-19
141.58,3.5302e-17,3.88e-19
141.63,3.5300e-17,3.87e-19
141.68,3.5299e-17,3.86e-19
141.73,3.5262e-17,3.84e-19
141.78,3.5178e-17,3.82e-19
141.83,3.5095e-17,3.8e-19
141.88,3.5011e-17,3.78e-19
141.93,3.4823e-17,3.75e-19
141.98,3.4581e-17,3.72e-19
142.03,3.4338e-17,3.7e-19
142.08,3.4096e-17,3.67e-19
142.13,3.3835e-17,3.63e-19
142.18,3.3572e-17,3.6e-19
142.23,3.3308e-17,3.57e-19
142.28,3.3048e-17,3.54e-19
142.33,3.2811e-17,3.51e-19
142.38,3.2574e-17,3.49e-19
142.43,3.2337e-17,3.47e-19
142.48,3.2137e-17,3.44e-19
142.53,3.2014e-17,3.42e-19
142.58,3.1892e-17,3.4e-19
142.63,3.1769e-17,3.39e-19
142.68,3.1738e-17,3.38e-19
142.73,3.1783e-17,3.4e-19
142.78,3.1828e-17,3.41e-19
142.83,3.1874e-17,3.42e-19
142.88,3.1910e-17,3.42e-19
142.93,3.1942e-17,3.42e-19
142.98,3.1975e-17,3.42e-19
143.03,3.2008e-17,3.42e-19
143.08,3.1937e-17,3.4e-19
143.13,3.1865e-17,3.38e-19
143.18,3.1792e-17,3.36e-19
143.23,3.1715e-17,3.35e-19
143.28,3.1619e-17,3.34e-19
143.33,3.1523e-17,3.33e-19
143.38,3.1427e-17,3.32e-19
143.43,3.1321e-17,3.3e-19
143.48,3.1201e-17,3.29e-19
143.53,3.1081e-17,3.28e-19
143.58,3.0961e-17,3.27e-19
143.63,3.0867e-17,3.25e-19
143.68,3.0786e-17,3.24e-19
143.73,3.0705e-17,3.23e-19
143.78,3.0624e-17,3.22e-19
143.83,3.0635e-17,3.23e-19
143.88,3.0658e-17,3.23e-19
143.93,3.0681e-17,3.24e-19
143.98,3.0706e-17,3.25e-19
144.03,3.0743e-17,3.25e-19
144.08,3.0781e-17,3.26e-19
144.13,3.0819e-17,3.26e-19
144.18,3.0865e-17,3.27e-19
144.23,3.0927e-17,3.28e-19
144.28,3.0989e-17,3.28e-19
144.33,3.1051e-17,3.29e-19
144.38,3.1141e-17,3.3e-19
144.43,3.1254e-17,3.31e-19
144.48,3.1366e-17,3.32e-19
144.53,3.1478e-17,3.33e-19
144.58,3.1517e-17,3.33e-19
144.63,3.1535e-17,3.33e-19
144.68,3.1553e-17,3.33e-19
144.73,3.1571e-17,3.33e-19
144.78,3.1414e-17,3.32e-19
144.83,3.1257e-17,3.31e-19
144.88,3.1100e-17,3.29e-19
144.93,3.0925e-17,3.28e-19
144.98,3.0690e-17,3.26e-19
145.03,3.0455e-17,3.24e-19
145.08,3.0221e-17,3.22e-19
145.13,3.0003e-17,3.21e-19
145.18,2.9806e-17,3.2e-19
145.23,2.9609e-17,3.19e-19
145.28,2.9411e-17,3.18e-19
145.33,2.9284e-17,3.17e-19
145.38,2.9187e-17,3.16e-19
145.43,2.9089e-17,3.15e-19
145.48,2.8992e-17,3.14e-19
145.53,2.8935e-17,3.13e-19
145.58,2.8882e-17,3.11e-19
145.63,2.8829e-17,3.1e-19
145.68,2.8786e-17,3.09e-19
145.73,2.8796e-17,3.09e-19
145.78,2.8806e-17,3.09e-19
145.83,2.8816e-17,3.09e-19
145.88,2.8837e-17,3.09e-19
145.93,2.8879e-17,3.09e-19
145.98,2.8921e-17,3.08e-19
146.03,2.8963e-17,3.08e-19
146.08,2.9019e-17,3.09e-19
146.13,2.9083e-17,3.11e-19
146.18,2.9148e-17,3.13e-19
146.23,2.9212e-17,3.16e-19
146.28,2.9297e-17,3.19e-19
146.33,2.9386e-17,3.22e-19
146.38,2.9474e-17,3.26e-19
146.43,2.9558e-17,3.29e-19
146.48,2.9593e-17,3.31e-19
146.53,2.9627e-17,3.32e-19
146.58,2.9661e-17,3.34e-19
146.63,2.9680e-17,3.35e-19
146.68,2.9663e-17,3.34e-19
146.73,2.9647e-17,3.33e-19
146.78,2.9630e-17,3.32e-19
146.83,2.9648e-17,3.31e-19
146.88,2.9694e-17,3.3e-19
146.93,2.9741e-17,3.28e-19
146.98,2.9788e-17,3.27e-19
147.03,2.9882e-17,3.27e-19
147.08,2.9988e-17,3.27e-19
147.13,3.0094e-17,3.27e-19
147.18,3.0199e-17,3.27e-19
147.23,3.0222e-17,3.3e-19
147.28,3.0244e-17,3.32e-19
147.33,3.0267e-17,3.35e-19
147.38,3.0281e-17,3.38e-19
147.43,3.0266e-17,3.4e-19
147.48,3.0251e-17,3.41e-19
147.53,3.0237e-17,3.43e-19
147.58,3.0207e-17,3.43e-19
147.63,3.0160e-17,3.42e-19
147.68,3.0113e-17,3.41e-19
147.73,3.0066e-17,3.41e-19
147.78,2.9962e-17,3.4e-19
147.83,2.9835e-17,3.4e-19
147.88,2.9708e-17,3.4e-19
147.93,2.9581e-17,3.4e-19
147.98,2.9440e-17,3.38e-19
148.03,2.9299e-17,3.36e-19
148.08,2.9157e-17,3.34e-19
148.13,2.9010e-17,3.31e-19
148.18,2.8839e-17,3.29e-19
148.23,2.8669e-17,3.26e-19
148.28,2.8498e-17,3.23e-19
148.33,2.8333e-17,3.21e-19
148.38,2.8175e-17,3.18e-19
148.43,2.8017e-17,3.15e-19
148.48,2.7859e-17,3.13e-19
148.53,2.7770e-17,3.12e-19
148.58,2.7715e-17,3.11e-19
148.63,2.7661e-17,3.11e-19
148.68,2.7607e-17,3.11e-19
148.73,2.7629e-17,3.13e-19
148.78,2.7660e-17,3.15e-19
148.83,2.7691e-17,3.17e-19
148.88,2.7732e-17,3.19e-19
148.93,2.7843e-17,3.2e-19
148.98,2.7953e-17,3.21e-19
149.03,2.8063e-17,3.22e-19
149.08,2.8161e-17,3.22e-19
149.13,2.8237e-17,3.22e-19
149.18,2.8313e-17,3.22e-19
149.23,2.8389e-17,3.22e-19
149.28,2.8451e-17,3.23e-19
149.33,2.8505e-17,3.24e-19
149.38,2.8560e-17,3.26e-19
149.43,2.8614e-17,3.27e-19
149.48,2.8730e-17,3.29e-19
149.53,2.8854e-17,3.31e-19
149.58,2.8979e-17,3.33e-19
149.63,2.9088e-17,3.35e-19
149.68,2.9092e-17,3.35e-19
149.73,2.9096e-17,3.35e-19
149.78,2.9100e-17,3.36e-19
149.83,2.9059e-17,3.36e-19
149.88,2.8940e-17,3.35e-19
149.93,2.8821e-17,3.34e-19
149.98,2.8702e-17,3.34e-19
150.03,2.8618e-17,3.33e-19
150.08,2.8559e-17,3.31e-19
150.13,2.8499e-17,3.29e-19
150.18,2.8439e-17,3.28e-19
150.23,2.8345e-17,3.26e-19
150.28,2.8244e-17,3.24e-19
150.33,2.8144e-17,3.23e-19
150.38,2.8040e-17,3.21e-19
150.43,2.7895e-17,3.21e-19
150.48,2.7750e-17,3.21e-19
150.53,2.7605e-17,3.21e-19
150.58,2.7452e-17,3.21e-19
150.63,2.7283e-17,3.2e-19
150.68,2.7114e-17,3.2e-19
150.73,2.6944e-17,3.2e-19
150.78,2.6756e-17,3.17e-19
150.83,2.6555e-17,3.14e-19
150.88,2.6355e-17,3.1e-19
150.93,2.6154e-17,3.06e-19
150.98,2.5942e-17,3.01e-19
151.03,2.5729e-17,2.96e-19
151.08,2.5515e-17,2.91e-19
151.13,2.5306e-17,2.86e-19
151.18,2.5151e-17,2.84e-19
151.23,2.4996e-17,2.81e-19
151.28,2.4842e-17,2.79e-19
151.33,2.4713e-17,2.77e-19
151.38,2.4640e-17,2.77e-19
151.43,2.4568e-17,2.76e-19
151.48,2.4495e-17,2.75e-19
151.53,2.4433e-17,2.75e-19
151.58,2.4379e-17,2.75e-19
151.63,2.4325e-17,2.74e-19
151.68,2.4271e-17,2.74e-19
151.73,2.4232e-17,2.74e-19
151.78,2.4196e-17,2.75e-19
151.83,2.4161e-17,2.77e-19
151.88,2.4129e-17,2.78e-19
151.93,2.4159e-17,2.8e-19
151.98,2.4189e-17,2.82e-19
152.03,2.4219e-17,2.85e-19
152.08,2.4260e-17,2.87e-19
152.13,2.4323e-17,2.87e-19
152.18,2.4387e-17,2.88e-19
152.23,2.4451e-17,2.88e-19
152.28,2.4517e-17,2.88e-19
152.33,2.4587e-17,2.87e-19
152.38,2.4656e-17,2.86e-19
152.43,2.4725e-17,2.84e-19
152.48,2.4738e-17,2.84e-19
152.53,2.4739e-17,2.84e-19
152.58,2.4740e-17,2.83e-19
152.63,2.4742e-17,2.83e-19
152.68,2.4762e-17,2.84e-19
152.73,2.4782e-17,2.85e-19
152.78,2.4801e-17,2.86e-19
152.83,2.4879e-17,2.88e-19
152.88,2.5079e-17,2.93e-19
152.93,2.5280e-17,2.97e-19
152.98,2.5480e-17,3.02e-19
153.03,2.5595e-17,3.03e-19
153.08,2.5642e-17,3.02e-19
153.13,2.5689e-17,3.01e-19
153.18,2.5736e-17,2.99e-19
153.23,2.5560e-17,2.95e-19
153.28,2.5334e-17,2.9e-19
153.33,2.5108e-17,2.85e-19
153.38,2.4893e-17,2.81e-19
153.43,2.4801e-17,2.8e-19
153.48,2.4709e-17,2.8e-19
153.53,2.4616e-17,2.79e-19
153.58,2.4512e-17,2.78e-19
153.63,2.4385e-17,2.78e-19
153.68,2.4258e-17,2.77e-19
153.73,2.4131e-17,2.76e-19
153.78,2.3941e-17,2.73e-19
153.83,2.3704e-17,2.7e-19
153.88,2.3467e-17,2.66e-19
153.93,2.3231e-17,2.62e-19
153.98,2.3042e-17,2.59e-19
154.03,2.2863e-17,2.56e-19
154.08,2.2683e-17,2.54e-19
154.13,2.2503e-17,2.51e-19
154.18,2.2309e-17,2.51e-19
154.23,2.2115e-17,2.51e-19
154.28,2.1922e-17,2.51e-19
154.33,2.1719e-17,2.5e-19
154.38,2.1501e-17,2.48e-19
154.43,2.1283e-17,2.45e-19
154.48,2.1066e-17,2.42e-19
154.53,2.0866e-17,2.4e-19
154.58,2.0680e-17,2.37e-19
154.63,2.0493e-17,2.34e-19
154.68,2.0306e-17,2.31e-19
154.73,2.0191e-17,2.3e-19
154.78,2.0088e-17,2.28e-19
154.83,1.9985e-17,2.27e-19
154.88,1.9887e-17,2.25e-19
154.93,1.9821e-17,2.25e-19
154.98,1.9756e-17,2.24e-19
155.03,1.9690e-17,2.23e-19
155.08,1.9625e-17,2.22e-19
155.13,1.9563e-17,2.2e-19
155.18,1.9500e-17,2.18e-19
155.23,1.9438e-17,2.16e-19
155.28,1.9383e-17,2.15e-19
155.33,1.9334e-17,2.14e-19
155.38,1.9285e-17,2.13e-19
155.43,1.9236e-17,2.12e-19
155.48,1.9256e-17,2.12e-19
155.53,1.9285e-17,2.11e-19
155.58,1.9313e-17,2.11e-19
155.63,1.9345e-17,2.11e-19
155.68,1.9395e-17,2.11e-19
155.73,1.9445e-17,2.11e-19
155.78,1.9495e-17,2.11e-19
155.83,1.9537e-17,2.12e-19
155.88,1.9568e-17,2.12e-19
155.93,1.9599e-17,2.12e-19
155.98,1.9630e-17,2.13e-19
156.03,1.9659e-17,2.13e-19
156.08,1.9686e-17,2.14e-19
156.13,1.9714e-17,2.15e-19
