λ,σ,uncertainty
400,1.07e-21,3.4e-21
402,1.01e-20,3.3e-21
404,1.25e-20,3.3e-21
406,8.14e-21,3.2e-21
408,4.01e-21,3.1e-21
410,9.6e-21,3.1e-21
412,1.99e-20,3.0e-21
414,2.39e-20,3.0e-21
416,2.93e-20,2.9e-21
418,3.05e-20,2.9e-21
420,3.889e-20,2.9e-21
422,4.661e-20,2.8e-21
424,5.628e-20,2.8e-21
426,6.607e-20,2.8e-21
428,7.551e-20,2.8e-21
430,8.951e-20,2.8e-21
432,1.045e-19,2.7e-21
434,1.167e-19,2.7e-21
436,1.345e-19,2.7e-21
438,1.58e-19,2.7e-21
440,1.82e-19,2.7e-21
442,2.062e-19,2.7e-21
444,2.311e-19,2.7e-21
446,2.612e-19,2.7e-21
448,2.959e-19,2.7e-21
450,3.336e-19,2.7e-21
452,3.704e-19,2.7e-21
454,4.1122e-19,2.8e-21
456,4.563e-19,2.8e-21
458,5.029e-19,2.8e-21
460,5.5123e-19,2.8e-21
462,6.126e-19,2.8e-21
464,6.815e-19,2.9e-21
466,7.4551e-19,2.9e-21
468,8.1112e-19,2.9e-21
470,8.8078e-19,3.0e-21
472,9.527e-19,3.0e-21
474,1.0308e-18,3.1e-21
476,1.1125e-18,3.1e-21
478,1.1989e-18,3.2e-21
480,1.2877e-18,3.2e-21
482,1.3754e-18,3.3e-21
484,1.4686e-18,3.4e-21
486,1.5557e-18,3.4e-21
488,1.6467e-18,3.5e-21
490,1.7466e-18,3.6e-21
492,1.8458e-18,3.7e-21
494,1.9378e-18,3.8e-21
496,2.0267e-18,3.9e-21
498,2.1154e-18,4.01e-21
500,2.1958e-18,4.13e-21
600,5.6898e-19,6.84e-21
602,5.2722e-19,6.84e-21
604,4.8367e-19,6.84e-21
606,4.5328e-19,6.84e-21
608,4.2743e-19,6.84e-21
610,4.0093e-19,6.84e-21
612,3.759e-19,6.84e-21
614,3.625e-19,6.84e-21
616,3.435e-19,6.84e-21
618,3.202e-19,6.84e-21
620,3.101e-19,6.84e-21
622,2.863e-19,6.84e-21
624,2.727e-19,6.84e-21
626,2.655e-19,6.84e-21
628,2.53e-19,6.84e-21
630,2.417e-19,2.3e-21
632,2.3e-19,2.3e-21
634,2.247e-19,2.3e-21
636,2.133e-19,2.3e-21
638,2.061e-19,2.3e-21
640,1.946e-19,2.3e-21
642,1.977e-19,2.3e-21
644,1.88e-19,2.3e-21
646,1.863e-19,2.3e-21
648,1.831e-19,2.3e-21
650,1.811e-19,2.3e-21
652,1.807e-19,2.3e-21
654,1.779e-19,2.3e-21
656,1.781e-19,2.3e-21
658,1.75e-19,2.3e-21
660,1.721e-19,2.3e-21
662,1.69e-19,2.3e-21
664,1.658e-19,2.3e-21
666,1.663e-19,2.4e-21
668,1.658e-19,2.4e-21
670,1.609e-19,2.4e-21
672,1.589e-19,2.4e-21
674,1.582e-19,2.4e-21
