λ,σ,uncertainty
200,5.61e-18,5.8e-19
201,5.76e-18,5.7e-19
202,5.91e-18,6.2e-19
203,6.05e-18,6.2e-19
204,6.08e-18,6.0e-19
205,6.09e-18,6.2e-19
206,6.06e-18,6.2e-19
207,5.96e-18,5.9e-19
208,5.84e-18,5.6e-19
209,5.66e-18,5.4e-19
210,5.32e-18,5.2e-19
211,4.91e-18,4.6e-19
212,4.46e-18,4.0e-19
213,3.95e-18,3.7e-19
214,3.45e-18,3.1e-19
215,2.98e-18,2.7e-19
216,2.53e-18,2.2e-19
217,2.14e-18,1.9e-19
218,1.8e-18,1.6e-19
219,1.5e-18,1.3e-19
220,1.25e-18,1.3e-19
221,1.04e-18,9.0e-20
222,8.6e-19,9.0e-20
223,7.4e-19,8.0e-20
224,6.3e-19,6.0e-20
225,5.5e-19,6.0e-20
226,4.8e-19,4.0e-20
227,4.3e-19,4.0e-20
228,3.9e-19,4.0e-20
229,3.7e-19,5.0e-20
230,3.4e-19,4.0e-20
231,3.1e-19,4.0e-20
232,3.1e-19,4.0e-20
233,2.8e-19,5.0e-20
234,2.6e-19,4.0e-20
235,2.5e-19,4.0e-20
236,2.5e-19,3.0e-20
237,2.3e-19,3.0e-20
238,2.3e-19,6.0e-20
239,2.1e-19,4.0e-20
240,1.9e-19,3.0e-20
241,1.8e-19,3.0e-20
242,1.8e-19,3.0e-20
243,1.6e-19,3.0e-20
244,1.6e-19,4.0e-20
245,1.4e-19,2.0e-20
246,1.4e-19,3.0e-20
247,1.3e-19,4.0e-20
248,1.2e-19,3.0e-20
249,1.2e-19,3.0e-20
250,1.1e-19,3.0e-20
251,9.4e-20,2.0e-20
252,8.6e-20,2.6e-20
253,7.8e-20,1.4e-20
254,8.0e-20,1.8e-20
255,7.4e-20,2.1e-20
256,6.6e-20,1.2e-20
257,6.1e-20,1.4e-20
258,6.3e-20,1.5e-20
259,4.7e-20,1.2e-20
260,6.1e-20,1.0e-20
261,5.9e-20,1.5e-20
262,6.7e-20,1.4e-20
263,6.0e-20,1.7e-20
264,4.9e-20,1.0e-20
265,5.5e-20,1.3e-20
266,5.2e-20,2.1e-20
267,4.9e-20,1.1e-20
268,4.0e-20,1.2e-20
269,4.8e-20,1.3e-20
270,4.4e-20,1.3e-20
271,4.7e-20,1.1e-20
272,4.7e-20,1.4e-20
273,4.7e-20,6.0e-21
274,4.9e-20,1.5e-20
275,4.6e-20,2.1e-20
276,4.3e-20,5.0e-21
277,4.3e-20,1.5e-20
278,4.4e-20,1.1e-20
279,4.2e-20,9.0e-21
280,3.7e-20,2.0e-21
