λ,σ,uncertainty
190,5.2e-17,8.71e-18
195,7.58e-17,1.72e-17
200,6.74e-17,1.35e-17
205,4.7e-17,7.25e-18
210,2.99e-17,3.2e-18
215,1.8e-17,1.39e-18
220,1.07e-17,6.39e-19
225,6.0e-18,2.92e-19
230,3.17e-18,1.33e-19
235,1.77e-18,6.9e-20
240,7.68e-19,2.82e-20
250,2.99e-19,1.04e-20
260,1.61e-19,5.69e-21
270,1.15e-19,4.05e-21
280,9.35e-20,3.29e-21
290,8.47e-20,2.98e-21
300,8.67e-20,3.05e-21
310,1.05e-19,3.69e-21
320,1.08e-19,3.8e-21
330,1.2e-19,4.23e-21
340,1.24e-19,4.37e-21
350,1.19e-19,4.19e-21
360,1.13e-19,3.98e-21
370,9.43e-20,3.31e-21
380,7.78e-20,2.73e-21
390,6.1e-20,2.14e-21
400,5.15e-20,1.8e-21
