λ,σ,uncertainty
200,7.238e-19,1.1e-20
210,2.56e-19,3.6e-21
220,9.56e-20,3.1e-21
230,2.89e-19,6.5e-21
240,1.024e-18,1.3e-20
250,1.884e-18,1.4e-20
260,1.971e-18,2.5e-20
270,1.556e-18,1.6e-20
280,1.269e-18,1.5e-20
290,1.03e-18,8.8e-21
300,7.242e-19,6.5e-21
310,4.191e-19,4.6e-21
320,2.12e-19,4.2e-21
330,9.41e-20,1.5e-21
340,4.21e-20,4.2e-20
350,1.92e-20,3.8e-22
360,9.02e-21,1.5e-22
370,4.97e-21,7.7e-23
380,4.21e-21,7.7e-23
390,5.35e-21,7.7e-23
400,7.84e-21,1.5e-22
420,1.23e-20,1.5e-22
440,1.12e-20,1.2e-22
460,6.77e-21,7.7e-23
480,3.63e-21,7.7e-23
500,2.45e-21,7.7e-23
