T,author_year,download_url,comments,formula,name,citation,fname
296.0,Cobos(1995),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Bicarbonyls/(FCO)2,FC(O)C(O)F_Cobos(1995)_296K_193,248nm.txt",Absorption cross sections at the photolysis wavelengths of 193 and 248 nm,"(FCO)2,FC(O)C(O)F",oxalyl fluoride,"

  C.J. Cobos, A.E. Croce, and E. Castellano, ""Kinetics of the recombination reaction between F atoms and FCO radicals"",
  Chem. Phys. Lett. 239, 320-325 (1995); 


  DOI: ","data/cross-sections/Organics (carbonyls)/Bicarbonyls/(FCO)2,FC(O)C(O)F/(FCO)2,FC(O)C(O)F_Cobos(1995)_296K_193,248nm.csv"
296.0,McGillen(2020),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Bicarbonyls/(FCO)2,FC(O)C(O)F_McGillen(2020)_296K_190-260nm.txt",Absorption measurements at discrete wavelengths over the 190−264 nm range using a monochromator/photomultiplier tube (PMT) apparatus and a D,"(FCO)2,FC(O)C(O)F",oxalyl fluoride,"

  M.R. McGillen,  V.C. Papadimitriou, S.C. Smith, and J.B. Burkholder, ""FC(O)C(O)F, FC(O)CF","data/cross-sections/Organics (carbonyls)/Bicarbonyls/(FCO)2,FC(O)C(O)F/(FCO)2,FC(O)C(O)F_McGillen(2020)_296K_190-260nm.csv"
296.0,McGillen(2020),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Bicarbonyls/(FCO)2,FC(O)C(O)F_McGillen(2020)_296K_210-330nm.txt",Broadband spectra were measured using a diode array spectrometer that used a D,"(FCO)2,FC(O)C(O)F",oxalyl fluoride,"

  M.R. McGillen,  V.C. Papadimitriou, S.C. Smith, and J.B. Burkholder, ""FC(O)C(O)F, FC(O)CF","data/cross-sections/Organics (carbonyls)/Bicarbonyls/(FCO)2,FC(O)C(O)F/(FCO)2,FC(O)C(O)F_McGillen(2020)_296K_210-330nm.csv"
