λ,σ,uncertainty
230,5.16e-21,9.2e-22
231,5.07e-21,8.3e-22
232,4.94e-21,6.8e-22
233,5.13e-21,5.5e-22
234,5.15e-21,7.4e-22
235,5.43e-21,7.6e-22
236,5.6e-21,7.7e-22
237,5.92e-21,7.1e-22
238,6.34e-21,7.7e-22
239,6.81e-21,7.9e-22
240,7.28e-21,8.9e-22
241,7.9e-21,9.2e-22
242,8.48e-21,8.8e-22
243,9.17e-21,9.1e-22
244,9.97e-21,9.7e-22
245,1.09e-20,9.0e-22
246,1.18e-20,1.1e-21
247,1.29e-20,1.0e-21
248,1.39e-20,9.0e-22
249,1.5e-20,1.0e-21
250,1.62e-20,1.2e-21
251,1.75e-20,1.4e-21
252,1.89e-20,1.3e-21
253,2.05e-20,1.2e-21
254,2.19e-20,1.1e-21
255,2.29e-20,1.0e-21
256,2.43e-20,1.2e-21
257,2.59e-20,1.5e-21
258,2.78e-20,1.5e-21
259,3.0e-20,1.4e-21
260,3.17e-20,1.4e-21
261,3.32e-20,1.2e-21
262,3.44e-20,1.1e-21
263,3.57e-20,1.3e-21
264,3.72e-20,1.6e-21
265,3.96e-20,1.8e-21
266,4.23e-20,1.8e-21
267,4.45e-20,1.5e-21
268,4.61e-20,1.6e-21
269,4.67e-20,1.7e-21
270,4.73e-20,1.6e-21
271,4.84e-20,1.6e-21
272,5.06e-20,1.9e-21
273,5.3e-20,1.9e-21
274,5.56e-20,1.9e-21
275,5.74e-20,2.1e-21
276,5.8e-20,2.3e-21
277,5.77e-20,2.4e-21
278,5.75e-20,2.2e-21
279,5.79e-20,2.0e-21
280,5.96e-20,2.1e-21
281,6.21e-20,2.0e-21
282,6.42e-20,2.3e-21
283,6.49e-20,2.5e-21
284,6.45e-20,2.8e-21
285,6.35e-20,2.9e-21
286,6.19e-20,2.7e-21
287,6.12e-20,2.3e-21
288,6.14e-20,2.1e-21
289,6.28e-20,2.1e-21
290,6.44e-20,2.3e-21
291,6.5e-20,2.5e-21
292,6.4e-20,2.9e-21
293,6.16e-20,3.1e-21
294,5.9e-20,2.7e-21
295,5.65e-20,2.6e-21
296,5.48e-20,2.2e-21
297,5.43e-20,2.0e-21
298,5.5e-20,1.9e-21
299,5.58e-20,2.1e-21
300,5.58e-20,2.2e-21
301,5.43e-20,2.6e-21
302,5.09e-20,2.9e-21
303,4.69e-20,2.5e-21
304,4.3e-20,2.2e-21
305,4.06e-20,2.2e-21
306,3.86e-20,1.7e-21
307,3.77e-20,1.6e-21
308,3.77e-20,1.6e-21
309,3.76e-20,1.5e-21
310,3.74e-20,1.6e-21
311,3.61e-20,1.8e-21
312,3.29e-20,1.8e-21
313,2.87e-20,1.5e-21
314,2.54e-20,1.5e-21
315,2.24e-20,1.0e-21
316,2.02e-20,9.0e-22
317,1.85e-20,8.0e-22
318,1.75e-20,6.0e-22
319,1.71e-20,7.0e-22
320,1.64e-20,6.0e-22
321,1.58e-20,6.0e-22
322,1.51e-20,5.0e-22
323,1.37e-20,6.0e-22
324,1.16e-20,5.0e-22
325,9.26e-21,2.7e-22
326,7.54e-21,2.1e-22
327,6.3e-21,1.9e-22
328,5.43e-21,3.1e-22
329,4.52e-21,3.0e-22
330,3.89e-21,1.8e-22
331,3.26e-21,1.0e-22
332,2.98e-21,1.4e-22
333,2.74e-21,2.0e-22
334,2.32e-21,2.0e-23
335,2.13e-21,1.0e-22
336,1.89e-21,6.0e-23
337,1.58e-21,8.0e-23
338,1.31e-21,1.2e-22
339,1.24e-21,7.0e-23
340,1.07e-21,1.0e-22
