λ,σ,uncertainty
184.95,2.686e-18,9.0e-21
190.0,1.801e-18,1.2e-20
192.0,1.532e-18,7.0e-21
194.0,1.254e-18,7.0e-21
196.0,1.015e-18,4.0e-21
198.0,8.251e-19,2.2e-21
200.0,6.524e-19,2.8e-21
202.0,5.151e-19,1.7e-21
204.0,3.963e-19,1.4e-21
206.0,2.977e-19,9.0e-22
208.0,2.168e-19,6.0e-22
210.0,1.574e-19,5.0e-22
212.0,1.087e-19,3.0e-22
213.856,7.682e-20,1.8e-22
214.0,7.611e-20,1.5e-22
216.0,5.235e-20,2.7e-22
218.0,3.566e-20,6.0e-23
220.0,2.407e-20,7.0e-23
222.0,1.636e-20,1.0e-22
224.0,1.113e-20,1.1e-22
226.0,7.362e-21,4.2e-23
228.0,4.955e-21,2.1e-23
228.802,4.309e-21,2.7e-23
230.0,3.314e-21,1.1e-23
