λ,σ,uncertainty
,section,
----------------------------------------,,
290,7.5e-25,1.3e-25
291,4.8e-25,3.0e-26
292,6.2e-25,1.3e-25
293,6.4e-25,3.0e-26
294,7.2e-25,4.0e-26
295,7.4e-25,7.0e-26
296,6.3e-25,8.0e-26
297,6.0e-25,2.0e-25
298,5.2e-25,4.0e-26
299,5.3e-25,2.0e-25
300,4.2e-25,5.0e-26
301,4.6e-25,4.0e-26
302,5.1e-25,7.0e-26
303,5.7e-25,3.0e-26
304,6.0e-25,4.0e-26
305,6.4e-25,2.0e-26
306,8.8e-25,4.0e-26
307,6.2e-25,7.0e-26
308,7.7e-25,2.0e-26
309,8.9e-25,3.0e-26
310,7.2e-25,2.0e-26
311,5.6e-25,6.0e-26
312,5.3e-25,5.0e-26
313,4.2e-25,2.0e-26
314,4.7e-25,1.0e-26
315,5.0e-25,9.0e-26
316,4.1e-25,1.0e-25
317,4.4e-25,8.0e-26
318,4.7e-25,4.0e-26
319,3.9e-25,3.0e-26
320,5.0e-25,4.0e-26
321,3.3e-25,1.0e-26
322,2.8e-25,8.0e-26
323,3.7e-25,4.0e-26
324,4.9e-25,1.0e-26
325,4.8e-25,4.0e-26
326,4.5e-25,2.0e-26
327,2.9e-25,1.0e-26
328,3.1e-25,4.0e-26
329,2.3e-25,2.0e-26
330,2.2e-25,2.0e-26
331,2.4e-25,7.0e-26
332,2.5e-25,3.0e-26
333,1.6e-25,1.0e-26
334,1.8e-25,2.0e-26
335,1.9e-25,2.0e-26
336,1.8e-25,2.0e-26
337,1.6e-25,1.0e-26
338,1.9e-25,4.0e-26
339,1.8e-25,1.0e-26
340,2.2e-25,2.0e-26
341,1.7e-25,4.0e-26
342,2.0e-25,1.0e-26
343,2.1e-25,4.0e-26
344,2.0e-25,3.0e-26
345,1.6e-25,3.0e-26
346,1.7e-25,3.0e-26
347,1.7e-25,4.0e-26
348,1.6e-25,1.0e-26
349,1.7e-25,3.0e-26
350,1.7e-25,1.0e-26
